,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,15,,,Lashley Keon,1059,0,0 - 1,0,GM,Chandra Akshat,2536,,2
1,2,3,,GM,Almeida Quintana Omar,2535,0,1 - 0,0,,La Touche Cyprian,1419,,14
2,3,13,,,Lee Hayden,1852,0,0 - 1,0,GM,Cubas Jose Fernando,2469,,4
3,4,5,,GM,Arenas David,2461,0,1 - 0,0,,Moncada Correa Sara,1869,,12
4,5,11,,FM,Curi Gabriel,2154,0,0 - 1,0,IM,Valdes Romero Leonardo,2402,,6
5,6,7,,IM,Jimenez Garcia Emmanuel,2397,0,1 - 0,0,,Chinchilla Alejandro Jose,2178,,10
6,7,9,,IM,Arias Santana Mauricio,2291,0,1 - 0,0,,Escobar Medina Andres F,2298,,8
