,Bo.,No.,,Name,Result,,Name,No.
0,1,1,,"Rouw,Cees",½ - ½,,"Batschelet, Ernst",6
1,2,2,,"Beddegenoodts,Marc",0 - 1,,"Tatam,Anthony",5
2,3,3,,"Hebenstreit,Walter",½ - ½,,"Levier,Jean-Francois",4
3,Bo.,No.,,Name,Result,,Name,No.
4,1,6,,"Batschelet, Ernst",0 - 1,,"Levier,Jean-Francois",4
5,2,5,,"Tatam,Anthony",1 - 0,,"Hebenstreit,Walter",3
6,3,1,,"Rouw,Cees",0 - 1,,"Beddegenoodts,Marc",2
7,Bo.,No.,,Name,Result,,Name,No.
8,1,2,,"Beddegenoodts,Marc",1 - 0,,"Batschelet, Ernst",6
9,2,3,,"Hebenstreit,Walter",0 - 1,,"Rouw,Cees",1
10,3,4,,"Levier,Jean-Francois",0 - 1,,"Tatam,Anthony",5
11,Bo.,No.,,Name,Result,,Name,No.
12,1,6,,"Batschelet, Ernst",½ - ½,,"Tatam,Anthony",5
13,2,1,,"Rouw,Cees",0 - 1,,"Levier,Jean-Francois",4
14,3,2,,"Beddegenoodts,Marc",1 - 0,,"Hebenstreit,Walter",3
15,Bo.,No.,,Name,Result,,Name,No.
16,1,3,,"Hebenstreit,Walter",1 - 0,,"Batschelet, Ernst",6
17,2,4,,"Levier,Jean-Francois",1 - 0,,"Beddegenoodts,Marc",2
18,3,5,,"Tatam,Anthony",1 - 0,,"Rouw,Cees",1
19,Bo.,No.,,Name,Result,,Name,No.
20,1,6,,"Batschelet, Ernst",0 - 1,,"Rouw,Cees",1
21,2,5,,"Tatam,Anthony",½ - ½,,"Beddegenoodts,Marc",2
22,3,4,,"Levier,Jean-Francois",1 - 0,,"Hebenstreit,Walter",3
23,Bo.,No.,,Name,Result,,Name,No.
24,1,4,,"Levier,Jean-Francois",1 - 0,,"Batschelet, Ernst",6
25,2,3,,"Hebenstreit,Walter",0 - 1,,"Tatam,Anthony",5
26,3,2,,"Beddegenoodts,Marc",1 - 0,,"Rouw,Cees",1
27,Bo.,No.,,Name,Result,,Name,No.
28,1,6,,"Batschelet, Ernst",1 - 0,,"Beddegenoodts,Marc",2
29,2,1,,"Rouw,Cees",0 - 1,,"Hebenstreit,Walter",3
30,3,5,,"Tatam,Anthony",1 - 0,,"Levier,Jean-Francois",4
31,Bo.,No.,,Name,Result,,Name,No.
32,1,5,,"Tatam,Anthony",½ - ½,,"Batschelet, Ernst",6
33,2,4,,"Levier,Jean-Francois",0 - 1,,"Rouw,Cees",1
34,3,3,,"Hebenstreit,Walter",1 - 0,,"Beddegenoodts,Marc",2
