,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,8,,FM,Stefansson Vignir Vatnar,2330,0,0 - 1,0,GM,Gretarsson Hjorvar Steinn,2578,,1
1,2,2,,GM,Stefansson Hannes,2536,0,1 - 0,0,GM,Thorfinnsson Bragi,2439,,7
2,3,3,,GM,Hjartarson Johann,2525,0,1 - 0,0,GM,Gretarsson Helgi Ass,2440,,6
3,4,4,,IM,Kjartansson Gudmundur,2483,0,1 - 0,0,GM,Petursson Margeir,2450,,5
