,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.
0,1,11,,Khasanova Sarvinoz,0,0,1 - 0,0,,Arkhipova Viktoria,0,1
1,2,2,,Balikova Charoz,0,0,1 - 0,0,,Lavrova Irina,0,12
2,3,13,,Marfina Irina,0,0,½ - ½,0,,Beisembaeva Saule,0,3
3,4,4,,Ershova Sofia,0,0,1 - 0,0,,Mazhitova Roza,0,14
4,5,15,,Mikheeva Snezhana,0,0,0 - 1,0,,Fayzullina Aygul,0,5
5,6,6,,Gataullina Eldiz,0,0,1 - 0,0,,Nusipbaeva Ziynatkyz,0,16
6,7,17,,Timofeeva Maria,0,0,1 - 0,0,,Haltova Tanzilia,0,7
7,8,8,,Yastrebova Rimma,0,0,0 - 1,0,,Tsiruleva Tatiana,0,18
8,9,19,,Tupitsyna Lyudmila,0,0,0 - 1,0,,Karpycheva Marianna,0,9
9,10,10,,Kenzhebek Kyzy,0,0,0 - 1,0,,Yunchanova Sayyna,0,20
