,Bo.,No.,Rtg,Club/City, ,,Name,Result,,Name, ,Rtg,Club/City,No.
0,1,1,2652,University of Missouri,,GM,Oparin Grigoriy,1 - 0,GM,Ali Marandi Cemil Can,,2543,Saint Louis University,6
1,2,2,2609,University of Missouri,,GM,Antipov Mikhail Al.,1 - 0,IM,Kevlishvili Robby,,2495,Saint Louis University,5
2,3,3,2507,University of Zagreb,,IM,Livaic Leon,0 - 1,GM,Shevchenko Kirill,,2599,Ivan Boberskyj Lviv State Universit,4
3,Bo.,No.,Rtg,Club/City, ,,Name,Result,,Name, ,Rtg,Club/City,No.
4,1,6,2543,Saint Louis University,,GM,Ali Marandi Cemil Can,0 - 1,GM,Shevchenko Kirill,,2599,Ivan Boberskyj Lviv State Universit,4
5,2,5,2495,Saint Louis University,,IM,Kevlishvili Robby,0 - 1,IM,Livaic Leon,,2507,University of Zagreb,3
6,3,1,2652,University of Missouri,,GM,Oparin Grigoriy,1 - 0,GM,Antipov Mikhail Al.,,2609,University of Missouri,2
7,Bo.,No.,Rtg,Club/City, ,,Name,Result,,Name, ,Rtg,Club/City,No.
8,1,2,2609,University of Missouri,,GM,Antipov Mikhail Al.,1 - 0,GM,Ali Marandi Cemil Can,,2543,Saint Louis University,6
9,2,3,2507,University of Zagreb,,IM,Livaic Leon,½ - ½,GM,Oparin Grigoriy,,2652,University of Missouri,1
10,3,4,2599,Ivan Boberskyj Lviv State Universit,,GM,Shevchenko Kirill,0 - 1,IM,Kevlishvili Robby,,2495,Saint Louis University,5
11,Bo.,No.,Rtg,Club/City, ,,Name,Result,,Name, ,Rtg,Club/City,No.
12,1,6,2543,Saint Louis University,,GM,Ali Marandi Cemil Can,½ - ½,IM,Kevlishvili Robby,,2495,Saint Louis University,5
13,2,1,2652,University of Missouri,,GM,Oparin Grigoriy,0 - 1,GM,Shevchenko Kirill,,2599,Ivan Boberskyj Lviv State Universit,4
14,3,2,2609,University of Missouri,,GM,Antipov Mikhail Al.,1 - 0,IM,Livaic Leon,,2507,University of Zagreb,3
15,Bo.,No.,Rtg,Club/City, ,,Name,Result,,Name, ,Rtg,Club/City,No.
16,1,3,2507,University of Zagreb,,IM,Livaic Leon,1 - 0,GM,Ali Marandi Cemil Can,,2543,Saint Louis University,6
17,2,4,2599,Ivan Boberskyj Lviv State Universit,,GM,Shevchenko Kirill,1 - 0,GM,Antipov Mikhail Al.,,2609,University of Missouri,2
18,3,5,2495,Saint Louis University,,IM,Kevlishvili Robby,½ - ½,GM,Oparin Grigoriy,,2652,University of Missouri,1
