,Bo.,No., ,,Name,FED,Rtg,Pts.,Result,Pts.,,Name,FED,Rtg, ,No.
52,53,142,,GM,Sadzikowski Daniel,POL,2415,0,0 - 1,0,GM,Predke Alexandr,CFR,2627,,53
53,54,54,,GM,Amin Bassem,EGY,2617,0,1 - 0,0,IM,Peng Li Min,UKR,2412,,143
54,55,144,,GM,Dragnev Valentin,AUT,2396,0,0 - 1,0,GM,Movsesian Sergei,ARM,2615,,55
55,56,56,,GM,Sychev Klementy,CFR,2615,0,1 - 0,0,GM,Gumularz Szymon,POL,2396,,145
56,57,146,,IM,Faizrakhmanov Ramil,CFR,2396,0,1 - 0,0,GM,Harikrishna Pentala,IND,2614,,57
57,58,58,,GM,Matlakov Maxim,CFR,2614,0,1 - 0,0,GM,Asadli Vugar,AZE,2386,,147
58,59,148,,GM,Lima Darcy,BRA,2379,0,0 - 1,0,GM,Vokhidov Shamsiddin,UZB,2613,,59
59,60,60,,GM,Bluebaum Matthias,GER,2609,0,1 - 0,0,GM,Nevednichy Vladislav,ROU,2379,,149
60,61,150,,GM,Nasuta Grzegorz,POL,2377,0,½ - ½,0,GM,Michalik Peter,CZE,2605,,61
61,62,62,,GM,Indjic Aleksandar,SRB,2603,0,1 - 0,0,CM,Petrovskyi Vadym,UKR,2377,,151
62,63,152,,GM,Heberla Bartlomiej,POL,2373,0,0 - 1,0,GM,Petrosian Tigran L.,ARM,2602,,63
63,64,64,,GM,Efimenko Zahar,UKR,2601,0,½ - ½,0,GM,Jakubowski Krzysztof,POL,2373,,153
64,65,154,,IM,Mitrabha Guha,IND,2370,0,½ - ½,0,GM,Durarbayli Vasif,AZE,2599,,65
65,66,66,,GM,Erdos Viktor,HUN,2599,0,1 - 0,0,GM,Gdanski Jacek,POL,2367,,155
66,67,156,,IM,Lubczynski Rafal,POL,2361,0,0 - 1,0,GM,Cheparinov Ivan,BUL,2594,,67
67,68,68,,GM,Christiansen Johan-Sebastian,NOR,2593,0,1 - 0,0,GM,Theodorou Nikolas,GRE,2351,,157
68,69,158,,IM,Blanco Acevedo Cristobal Jose,VEN,2350,0,0 - 1,0,GM,Demidov Mikhail,CFR,2592,,69
69,70,70,,GM,Sjugirov Sanan,CFR,2589,0,1 - 0,0,FM,Samunenkov Ihor,UKR,2348,,159
70,71,160,,GM,Kanarek Marcel,POL,2342,0,½ - ½,0,GM,Tang Andrew,USA,2588,,71
71,72,72,,IM,Vastrukhin Oleg,CFR,2588,0,1 - 0,0,IM,Kosakowski Jakub,POL,2340,,161
72,73,162,,IM,Dudin Gleb,CFR,2339,0,1 - 0,0,GM,Antipov Mikhail Al.,CFR,2587,,73
73,74,74,,GM,Alonso Rosell Alvar,ESP,2580,0,1 - 0,0,IM,Sankalp Gupta,IND,2323,,163
74,75,164,,FM,Babazada Khazar,AZE,2302,0,½ - ½,0,GM,Gabuzyan Hovhannes,ARM,2580,,75
75,76,76,,GM,Oparin Grigoriy,CFR,2580,0,1 - 0,0,FM,Szpar Milosz,POL,2285,,165
76,77,166,,IM,Kuzmicz Krystian,POL,2281,0,0 - 1,0,GM,Mastrovasilis Dimitrios,GRE,2577,,77
77,78,78,,GM,Mikhalevski Victor,ISR,2577,0,1 - 0,0,FM,Lopusiewicz Piotr,POL,2279,,167
78,79,168,,GM,Wieczorek Oskar,POL,2258,0,0 - 1,0,GM,Harsha Bharathakoti,IND,2576,,79
79,80,80,,GM,Gagunashvili Merab,GEO,2575,0,0 - 1,0,IM,Aditya Mittal,IND,2245,,169
80,81,170,,IM,Tologontegin Semetey,KGZ,2224,0,½ - ½,0,GM,Halkias Stelios,GRE,2575,,81
81,82,82,,GM,Ivic Velimir,SRB,2575,0,1 - 0,0,GM,Thybo Jesper Sondergaard,DEN,2195,,171
82,83,172,,CM,Sallam Sabri Abdul-Mawla,YEM,2194,0,0 - 1,0,GM,Socko Bartosz,POL,2571,,83
83,84,84,,IM,Muradli Mahammad,AZE,2571,0,1 - 0,0,,Elier Ali,LBA,2194,,173
84,85,174,,IM,Masternak Grzegorz,POL,2188,0,0 - 1,0,GM,Narayanan.S.L,IND,2570,,85
85,86,86,,GM,Van Foreest Jorden,NED,2566,0,1 - 0,0,IM,Baum Jonasz,POL,2157,,175
86,87,176,,CM,Gluszko Tomasz,POL,2086,0,0 - 1,0,GM,Ter-Sahakyan Samvel,ARM,2565,,87
87,88,88,,GM,Sadhwani Raunak,IND,2562,0,0 - 1,0,FM,Klimkowski Jan,POL,2015,,177
88,89,178,,FM,Laith Kasib,IRQ,2010,0,0 - 1,0,GM,Santos Latasa Jaime,ESP,2561,,89
