,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,1,,GM,Tazbir Marcin,2464,0,1 - 0,0,,Migala Andrzej,2003,,9
1,2,10,,,Andriienko Artom,1985,0,0 - 1,0,GM,Gruenfeld Yehuda,2391,,2
2,3,3,,FM,Molenda Marcin,2281,0,1 - 0,0,FM,Valenta Vit Vaclav,1969,,11
3,4,12,,,Wolanski Michal,1958,0,½ - ½,0,IM,Gurbanov Andrei,2240,,4
4,5,5,,IM,Dukaczewski Piotr *),2189,0,0 - 1,0,WFM,Stolarczyk Anna,1913,,13
5,6,14,,,Smolin Stefan,1903,0,0 - 1,0,IM,Stachanczyk Jacek,2088,,6
6,7,7,,,Glazar Domagoj,2070,0,1 - 0,0,,Nazarov Nicolai,1757,,15
7,8,16,,,Pilimon Zbigniew,1497,0,0 - 1,0,,Suder Ryszard,2055,,8
