,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,1,,GM,Gukesh D,2578,0,- - +,0,,Ramos Aranda Zahid,1546,,16
1,2,15,,,Reyes Chester Neil,1837,0,0 - 1,0,IM,Murzin Volodar,2505,,2
2,3,3,,,Pranav Venkatesh,2489,0,1 - 0,0,,Talibov Shiroghlan,2083,,14
3,4,13,,FM,De Silva L M S T,2085,0,0 - 1,0,IM,Yoo Christopher Woojin,2466,,4
4,5,5,,IM,Lazavik Denis,2440,0,0 - 1,0,FM,Jubin Jimmy,2259,,12
5,6,11,,FM,Aaryan Varshney,2277,0,½ - ½,0,IM,Pranesh M,2437,,6
6,7,7,,FM,Babazada Khazar,2427,0,1 - 0,0,FM,Samant Aditya S,2297,,10
7,8,9,,FM,Tsaruk Maksim,2324,0,0 - 1,0,FM,Hoffmann Yair,2358,,8
