,No.,Team,Team,Res.,:,Res.
0,1,  ICT Barendrecht,  Grenke Bank,0,:,4
1,2,  Yandex,  Paypal (IND),4,:,0
2,3,  Continental Automotive,  Erste Group,0,:,4
3,4,  Rosseti Kuban,  Siemens,4,:,0
4,5,  AB Games,  VOZP,0,:,4
5,6,  Khareba,  Bosch Chassis India,4,:,0
6,7,  Schwarz Produktion,  Airbus (GER),0,:,4
7,8,  Sovcombank,  Maruti Suzuki,4,:,0
8,9,  Hazeltree,  Samsung Electronics,0,:,4
9,10,  NTT Data Services,  Deutsche Bank Mumbai,4,:,0
10,11,  AFS,  European Patent Office Munchen,0,:,4
11,12,  Komercni Banka,  US Tech Solutions,3,:,1
12,13,  Vodafone UK,  Reply NRW,0,:,4
13,14,  L&T Electrical & Automation,  52 Entertainment,3,:,1
14,15,  Concept Reply,  MTS,1,:,3
15,16,  Google Bangalore,  Tata Steel,3,:,1
16,17,  Fracttal,  PTC Haifa,0,:,4
17,18,  OYO Hotels and Homes,  Malomatia,4,:,0
18,19,  Jio Infocomm,  Air Astana,1,:,3
19,20,  Tegeta,  Atmos (UK),4,:,0
