,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,1,,GM,Oparin Grigoriy,2652,0,1 - 0,0,,Sarakatsanis Ioannis Athanasios,1632,,119
1,2,3,,GM,Albornoz Cabrera Carlos Daniel,2573,0,1 - 0,0,,Bitarinsa Arthur,1617,,121
2,3,5,,GM,Vokhidov Shamsiddin,2529,0,1 - 0,0,,Torres Flores Marco,1593,,123
3,4,7,,IM,Laurusas Tomas,2505,0,1 - 0,0,,Dy Daphne Mae,1578,,125
4,5,9,,IM,Grinberg Eyal,2491,0,1 - 0,0,,My Aditya,1563,,127
5,6,11,,IM,Costachi Mihnea,2471,0,1 - 0,0,,Toribio Alvarado Brath,1544,,129
6,7,14,,IM,Osmak Iulija,2428,0,1 - 0,0,,Portelli Timothy,1529,,131
7,8,16,,IM,Agibileg Uurtsaikh,2413,0,1 - 0,0,,Erdal Emre,1516,,133
8,9,18,,IM,Sousa Andre Ventura,2390,0,1 - 0,0,,Angira Choudhuri,1468,,136
9,10,20,,IM,Stearman Josiah,2374,0,1 - 0,0,,Ahmad Abu-Khater,1414,,138
10,11,22,,IM,Jirasek Ladia,2361,0,1 - 0,0,,Mansour Halim,1385,,140
11,12,24,,WIM,Sliwicka Alicja,2346,0,1 - 0,0,,Naitik Choudhary,1355,,142
12,13,26,,FM,Taghizadeh Rayan,2311,0,- - +,0,,Obeid Omar,1327,,144
13,14,28,,WIM,Styazhkina Anna,2294,0,1 - 0,0,,Nikhilesh Prabhakar,1298,,146
14,15,30,,FM,Sandoval Mercado Carlos,2273,0,1 - 0,0,,Trivedi Shriraj,1273,,148
15,16,32,,FM,Baselmans Luuk,2251,0,1 - 0,0,,Deepak Kumar,1198,,150
16,17,34,,,Morales Marmol Marcos Antonio,2241,0,1 - 0,0,,Fedysiv Zoryana,1149,,152
17,18,36,,FM,Pasaribu Ivan Maxmillian Putra,2229,0,1 - 0,0,,Abbott Thomas,0,,231
18,19,38,,WIM,Arpita Mukherjee,2206,0,1 - 0,0,,Ajmi Aziz,0,,167
19,20,40,,FM,Amaro Alfonso Raynner,2186,0,1 - 0,0,,Alkhabaz Mustafa Abdullah M,0,,209
20,21,42,,WIM,Librelato Kathie Goulart,2165,0,1 - 0,0,,Anan Ananta Noor,0,,161
