,No.,Team,Team,Res.,:,Res.
0,1,  Velammal Nexus *),  School #1,3½,:,1½
1,2,  Saco Oliveros,  33rd Secondary School *),3,:,2
2,3,  EDM Torrelavega,  Gymnazium Petra Bezruce,2,:,3
3,4,  Mission San Jose Hopkins Junior,  Csanyi Alapitvany Gyermekekert,3,:,2
4,5,  Gujarat State Chess Association,  Istanbul Erkek Lisesi Team,3,:,2
5,6,  Al Ain Culture & Chess Club *),  Green Village Chess Academy,1,:,4
