,No.,Team,Team,Res.,:,Res.
0,1,  Poland,  Kosovo,4,:,0
1,2,  Romania,  France,4,:,0
2,3,  Ukraine,  Slovenia,3½,:,½
3,4,  Hungary,  Bulgaria,3,:,1
4,5,  Serbia,  Croatia,3½,:,½
5,6,  Germany,  Israel,2½,:,1½
6,7,  Spain,  Italy,3,:,1
7,8,  India,  North Macedonia,2½,:,1½
