,No.,Team,Team,Res.,:,Res.
0,1,  Microsoft Redmond,  Nvidia,4,:,0
1,2,  Amazon US-East,  Anahuac,0,:,4
2,3,  Goldman Sachs,  Vida Health,3,:,1
3,4,  Rakuten (JPN),  Telus,1,:,3
4,5,  Workday,  Zanatta,2,:,2
5,6,  Fluidigm,  Debevoise,½,:,3½
6,7,  Grupo Munoz,  Tata Communications (USA),4,:,0
7,8,  Loggi,  Deloitte Chicago,0,:,4
8,9,  Intel Microelectronics,  Eli Lilly (AUS),2,:,2
9,10,  Google,  Farber Group,1,:,3
10,11,  Telconet,  Ripcord,4,:,0
11,12,  Servicios de Tecnologia Big Data,  ANCAP,0,:,4
12,13,  PTC Boston,  Atmos (USA),3,:,1
