,Bo.,No.,FED,Rtg,,Name,Result,,Name,FED,Rtg,No.
0,1,5,SUI,2014,,"Deubelbeiss, René",0,,bye,,0,-1
1,2,4,GER,2048,FM,"Frick,Christoph",½ - ½,,"Svensson,Mikael",SWE,2165,1
2,3,3,USA,2062,,"Jhunjhnuwala,Naresh",½ - ½,,"Bindrich,Oswald",GER,2105,2
3,Bo.,No.,FED,Rtg,,Name,Result,,Name,FED,Rtg,No.
4,1,2,GER,2105,,"Bindrich,Oswald",0,,bye,,0,-1
5,2,1,SWE,2165,,"Svensson,Mikael",½ - ½,,"Jhunjhnuwala,Naresh",USA,2062,3
6,3,5,SUI,2014,,"Deubelbeiss, René",0 - 1,FM,"Frick,Christoph",GER,2048,4
7,Bo.,No.,FED,Rtg,,Name,Result,,Name,FED,Rtg,No.
8,1,4,GER,2048,FM,"Frick,Christoph",0,,bye,,0,-1
9,2,3,USA,2062,,"Jhunjhnuwala,Naresh",½ - ½,,"Deubelbeiss, René",SUI,2014,5
10,3,2,GER,2105,,"Bindrich,Oswald",1 - 0,,"Svensson,Mikael",SWE,2165,1
11,Bo.,No.,FED,Rtg,,Name,Result,,Name,FED,Rtg,No.
12,1,1,SWE,2165,,"Svensson,Mikael",0,,bye,,0,-1
13,2,5,SUI,2014,,"Deubelbeiss, René",0 - 1,,"Bindrich,Oswald",GER,2105,2
14,3,4,GER,2048,FM,"Frick,Christoph",½ - ½,,"Jhunjhnuwala,Naresh",USA,2062,3
15,Bo.,No.,FED,Rtg,,Name,Result,,Name,FED,Rtg,No.
16,1,3,USA,2062,,"Jhunjhnuwala,Naresh",0,,bye,,0,-1
17,2,2,GER,2105,,"Bindrich,Oswald",1 - 0,FM,"Frick,Christoph",GER,2048,4
18,3,1,SWE,2165,,"Svensson,Mikael",1 - 0,,"Deubelbeiss, René",SUI,2014,5
19,Bo.,No.,FED,Rtg,,Name,Result,,Name,FED,Rtg,No.
20,1,1,SWE,2165,,"Svensson,Mikael",0,,bye,,0,-1
21,2,2,GER,2105,,"Bindrich,Oswald",0 - 1,,"Deubelbeiss, René",SUI,2014,5
22,3,3,USA,2062,,"Jhunjhnuwala,Naresh",½ - ½,FM,"Frick,Christoph",GER,2048,4
23,Bo.,No.,FED,Rtg,,Name,Result,,Name,FED,Rtg,No.
24,1,5,SUI,2014,,"Deubelbeiss, René",0,,bye,,0,-1
25,2,1,SWE,2165,,"Svensson,Mikael",½ - ½,FM,"Frick,Christoph",GER,2048,4
26,3,2,GER,2105,,"Bindrich,Oswald",1 - 0,,"Jhunjhnuwala,Naresh",USA,2062,3
27,Bo.,No.,FED,Rtg,,Name,Result,,Name,FED,Rtg,No.
28,1,2,GER,2105,,"Bindrich,Oswald",0,,bye,,0,-1
29,2,3,USA,2062,,"Jhunjhnuwala,Naresh",0 - 1,,"Svensson,Mikael",SWE,2165,1
30,3,4,GER,2048,FM,"Frick,Christoph",1 - 0,,"Deubelbeiss, René",SUI,2014,5
31,Bo.,No.,FED,Rtg,,Name,Result,,Name,FED,Rtg,No.
32,1,4,GER,2048,FM,"Frick,Christoph",0,,bye,,0,-1
33,2,5,SUI,2014,,"Deubelbeiss, René",1 - 0,,"Jhunjhnuwala,Naresh",USA,2062,3
34,3,1,SWE,2165,,"Svensson,Mikael",1 - 0,,"Bindrich,Oswald",GER,2105,2
35,Bo.,No.,FED,Rtg,,Name,Result,,Name,FED,Rtg,No.
36,1,3,USA,2062,,"Jhunjhnuwala,Naresh",0,,bye,,0,-1
37,2,4,GER,2048,FM,"Frick,Christoph",½ - ½,,"Bindrich,Oswald",GER,2105,2
38,3,5,SUI,2014,,"Deubelbeiss, René",0 - 1,,"Svensson,Mikael",SWE,2165,1
