,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
0,1,1,2758,GM,Vachier-Lagrave Maxime,½ - ½,GM,Caruana Fabiano,2820,8
1,2,2,2791,GM,Ding Liren,0 - 1,GM,Wang Hao,2763,7
2,3,3,2776,GM,Giri Anish,0 - 1,GM,Nepomniachtchi Ian,2789,6
3,4,4,2777,GM,Grischuk Alexander,½ - ½,GM,Alekseenko Kirill,2696,5
4,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
5,1,8,2820,GM,Caruana Fabiano,1 - 0,GM,Alekseenko Kirill,2696,5
6,2,6,2789,GM,Nepomniachtchi Ian,½ - ½,GM,Grischuk Alexander,2777,4
7,3,7,2763,GM,Wang Hao,½ - ½,GM,Giri Anish,2776,3
8,4,1,2758,GM,Vachier-Lagrave Maxime,1 - 0,GM,Ding Liren,2791,2
9,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
10,1,2,2791,GM,Ding Liren,1 - 0,GM,Caruana Fabiano,2820,8
11,2,3,2776,GM,Giri Anish,½ - ½,GM,Vachier-Lagrave Maxime,2758,1
12,3,4,2777,GM,Grischuk Alexander,½ - ½,GM,Wang Hao,2763,7
13,4,5,2696,GM,Alekseenko Kirill,½ - ½,GM,Nepomniachtchi Ian,2789,6
14,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
15,1,8,2820,GM,Caruana Fabiano,½ - ½,GM,Nepomniachtchi Ian,2789,6
16,2,7,2763,GM,Wang Hao,½ - ½,GM,Alekseenko Kirill,2696,5
17,3,1,2758,GM,Vachier-Lagrave Maxime,½ - ½,GM,Grischuk Alexander,2777,4
18,4,2,2791,GM,Ding Liren,½ - ½,GM,Giri Anish,2776,3
19,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
20,1,3,2776,GM,Giri Anish,½ - ½,GM,Caruana Fabiano,2820,8
21,2,4,2777,GM,Grischuk Alexander,½ - ½,GM,Ding Liren,2791,2
22,3,5,2696,GM,Alekseenko Kirill,½ - ½,GM,Vachier-Lagrave Maxime,2758,1
23,4,6,2789,GM,Nepomniachtchi Ian,1 - 0,GM,Wang Hao,2763,7
24,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
25,1,8,2820,GM,Caruana Fabiano,½ - ½,GM,Wang Hao,2763,7
26,2,1,2758,GM,Vachier-Lagrave Maxime,1 - 0,GM,Nepomniachtchi Ian,2789,6
27,3,2,2791,GM,Ding Liren,½ - ½,GM,Alekseenko Kirill,2696,5
28,4,3,2776,GM,Giri Anish,½ - ½,GM,Grischuk Alexander,2777,4
29,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
30,1,4,2777,GM,Grischuk Alexander,½ - ½,GM,Caruana Fabiano,2820,8
31,2,5,2696,GM,Alekseenko Kirill,0 - 1,GM,Giri Anish,2776,3
32,3,6,2789,GM,Nepomniachtchi Ian,1 - 0,GM,Ding Liren,2791,2
33,4,7,2763,GM,Wang Hao,½ - ½,GM,Vachier-Lagrave Maxime,2758,1
34,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
35,1,8,2820,GM,Caruana Fabiano,1 - 0,GM,Vachier-Lagrave Maxime,2758,1
36,2,7,2763,GM,Wang Hao,½ - ½,GM,Ding Liren,2791,2
37,3,6,2789,GM,Nepomniachtchi Ian,½ - ½,GM,Giri Anish,2776,3
38,4,5,2696,GM,Alekseenko Kirill,1 - 0,GM,Grischuk Alexander,2777,4
39,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
40,1,5,2696,GM,Alekseenko Kirill,½ - ½,GM,Caruana Fabiano,2820,8
41,2,4,2777,GM,Grischuk Alexander,½ - ½,GM,Nepomniachtchi Ian,2789,6
42,3,3,2776,GM,Giri Anish,1 - 0,GM,Wang Hao,2763,7
43,4,2,2791,GM,Ding Liren,½ - ½,GM,Vachier-Lagrave Maxime,2758,1
44,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
45,1,8,2820,GM,Caruana Fabiano,½ - ½,GM,Ding Liren,2791,2
46,2,1,2758,GM,Vachier-Lagrave Maxime,½ - ½,GM,Giri Anish,2776,3
47,3,7,2763,GM,Wang Hao,½ - ½,GM,Grischuk Alexander,2777,4
48,4,6,2789,GM,Nepomniachtchi Ian,1 - 0,GM,Alekseenko Kirill,2696,5
49,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
50,1,6,2789,GM,Nepomniachtchi Ian,½ - ½,GM,Caruana Fabiano,2820,8
51,2,5,2696,GM,Alekseenko Kirill,½ - ½,GM,Wang Hao,2763,7
52,3,4,2777,GM,Grischuk Alexander,1 - 0,GM,Vachier-Lagrave Maxime,2758,1
53,4,3,2776,GM,Giri Anish,1 - 0,GM,Ding Liren,2791,2
54,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
55,1,8,2820,GM,Caruana Fabiano,0 - 1,GM,Giri Anish,2776,3
56,2,2,2791,GM,Ding Liren,1 - 0,GM,Grischuk Alexander,2777,4
57,3,1,2758,GM,Vachier-Lagrave Maxime,1 - 0,GM,Alekseenko Kirill,2696,5
58,4,7,2763,GM,Wang Hao,0 - 1,GM,Nepomniachtchi Ian,2789,6
59,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
60,1,7,2763,GM,Wang Hao,0 - 1,GM,Caruana Fabiano,2820,8
61,2,6,2789,GM,Nepomniachtchi Ian,½ - ½,GM,Vachier-Lagrave Maxime,2758,1
62,3,5,2696,GM,Alekseenko Kirill,0 - 1,GM,Ding Liren,2791,2
63,4,4,2777,GM,Grischuk Alexander,1 - 0,GM,Giri Anish,2776,3
64,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
65,1,8,2820,GM,Caruana Fabiano,½ - ½,GM,Grischuk Alexander,2777,4
66,2,3,2776,GM,Giri Anish,0 - 1,GM,Alekseenko Kirill,2696,5
67,3,2,2791,GM,Ding Liren,1 - 0,GM,Nepomniachtchi Ian,2789,6
68,4,1,2758,GM,Vachier-Lagrave Maxime,1 - 0,GM,Wang Hao,2763,7
