,No.,Team,Team,Res.,:,Res.
0,1,  Poland,  Kosovo,4,:,0
1,2,  Romania,  France,4,:,0
2,3,  Ukraine,  Slovenia,3½,:,½
3,4,  Hungary,  Bulgaria,3,:,1
