,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,11,,,Krivenko Dion,1978,0,0 - 1,0,FM,Nogerbek Kazybek,2441,,1
1,2,2,,IM,Subelj Jan,2328,0,1 - 0,0,FM,Ochedzan Tymon,1965,,12
2,3,13,,,Reller Ole,1838,0,0 - 1,0,FM,Fromm Marius,2299,,3
3,4,4,,FM,Morgunov Marc,2240,0,1 - 0,0,,Ribeiro Rodrigo,1795,,14
4,5,15,,,Gomez Barrera Gonzalo Andres,1792,0,½ - ½,0,FM,Koziorowicz Michal,2219,,5
5,6,6,,,Goroshkov Maksym,2199,0,1 - 0,0,,Ayoub Georges,1712,,16
6,7,17,,AIM,Oosthuizen Michal Jacobus,1619,0,0 - 1,0,,Kushko Dmitriy,2193,,7
7,8,8,,IM,Can Isik,2130,0,1 - 0,0,,Mikulis Borsoi Luca,1585,,18
8,9,19,,,Kien Clovis,1551,0,0 - 1,0,FM,Czernek Tymon,2068,,9
9,10,10,,FM,Redzisz Michal,2004,0,1 - 0,0,,Ayoub Alexandre,1422,,20
