,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,1,,,Palma Villanueva Miguel Ta,1736,0,1 - 0,0,,Esquivel San Agustin Diego EN,1605,,4
1,2,3,,,Bojorquez Gallardo Cristian Gael,1631,0,0 - 1,0,,Trevino Luna Angel Daniel,1680,,2
