25,5,7,GER,2079,,,"Petzelberger,Ferdinand",1 - 0,,"Mikavica,Dragoljub",,SUI,2032,10
26,6,8,SUI,2068,,,"Gosch,Manfred",1 - 0,,"Ermitsch,Magnus",,GER,2045,9
27,Bo.,No.,FED,Rtg, ,,Name,Result,,Name, ,FED,Rtg,No.
28,1,9,GER,2045,,,"Ermitsch,Magnus",0,,bye,,,0,-1
29,2,10,SUI,2032,,,"Mikavica,Dragoljub",,,"Gosch,Manfred",,SUI,2068,8
30,3,11,GER,2020,,,"Siebarth,Marco",,,"Petzelberger,Ferdinand",,GER,2079,7
31,4,1,BUL,2196,,CM,"Kostov,Deyan",,,"Hagner,Bennet",,GER,2084,6
32,5,2,SWE,2165,,,"Svensson,Mikael",,,"Kreilinger,Erich",,GER,2113,5
33,6,3,GER,2145,,,"Ermitsch,Michael",,,"Held,Peter",,GER,2139,4
34,Bo.,No.,FED,Rtg, ,,Name,Result,,Name, ,FED,Rtg,No.
35,1,4,GER,2139,,,"Held,Peter",0,,bye,,,0,-1
36,2,5,GER,2113,,,"Kreilinger,Erich",,,"Ermitsch,Michael",,GER,2145,3
37,3,6,GER,2084,,,"Hagner,Bennet",,,"Svensson,Mikael",,SWE,2165,2
38,4,7,GER,2079,,,"Petzelberger,Ferdinand",,CM,"Kostov,Deyan",,BUL,2196,1
39,5,8,SUI,2068,,,"Gosch,Manfred",,,"Siebarth,Marco",,GER,2020,11
40,6,9,GER,2045,,,"Ermitsch,Magnus",,,"Mikavica,Dragoljub",,SUI,2032,10
41,Bo.,No.,FED,Rtg, ,,Name,Result,,Name, ,FED,Rtg,No.
42,1,10,SUI,2032,,,"Mikavica,Dragoljub",0,,bye,,,0,-1
43,2,11,GER,2020,,,"Siebarth,Marco",,,"Ermitsch,Magnus",,GER,2045,9
44,3,1,BUL,2196,,CM,"Kostov,Deyan",,,"Gosch,Manfred",,SUI,2068,8
45,4,2,SWE,2165,,,"Svensson,Mikael",,,"Petzelberger,Ferdinand",,GER,2079,7
46,5,3,GER,2145,,,"Ermitsch,Michael",,,"Hagner,Bennet",,GER,2084,6
47,6,4,GER,2139,,,"Held,Peter",,,"Kreilinger,Erich",,GER,2113,5
48,Bo.,No.,FED,Rtg, ,,Name,Result,,Name, ,FED,Rtg,No.
49,1,5,GER,2113,,,"Kreilinger,Erich",0,,bye,,,0,-1
50,2,6,GER,2084,,,"Hagner,Bennet",,,"Held,Peter",,GER,2139,4
51,3,7,GER,2079,,,"Petzelberger,Ferdinand",,,"Ermitsch,Michael",,GER,2145,3
52,4,8,SUI,2068,,,"Gosch,Manfred",,,"Svensson,Mikael",,SWE,2165,2
53,5,9,GER,2045,,,"Ermitsch,Magnus",,CM,"Kostov,Deyan",,BUL,2196,1
54,6,10,SUI,2032,,,"Mikavica,Dragoljub",,,"Siebarth,Marco",,GER,2020,11
55,Bo.,No.,FED,Rtg, ,,Name,Result,,Name, ,FED,Rtg,No.
56,1,1,BUL,2196,,CM,"Kostov,Deyan",0,,bye,,,0,-1
57,2,2,SWE,2165,,,"Svensson,Mikael",,,"Siebarth,Marco",,GER,2020,11
58,3,3,GER,2145,,,"Ermitsch,Michael",,,"Mikavica,Dragoljub",,SUI,2032,10
59,4,4,GER,2139,,,"Held,Peter",,,"Ermitsch,Magnus",,GER,2045,9
60,5,5,GER,2113,,,"Kreilinger,Erich",,,"Gosch,Manfred",,SUI,2068,8
61,6,6,GER,2084,,,"Hagner,Bennet",,,"Petzelberger,Ferdinand",,GER,2079,7
