,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,3,,GM,Gonzalez Vidal Yuri,2518,0,1 - 0,0,,Mckennis Darren,1735,,14
1,2,13,,,Lyn Christopher,1767,0,- - +,0,GM,Sambuev Bator,2514,,4
2,3,5,,IM,Valenzuela Fuentealba Luis,2444,0,1 - 0,0,WIM,Hernandez Alvarez Tania Regla,2041,,12
3,4,11,,WIM,Chirivi C Jenny Astrid,2083,0,1 - 0,0,IM,Roselli Mailhe Bernardo,2434,,6
4,5,7,,FM,Plotkin Victor,2367,0,+ - -,0,,Bellissimo Joseph F.,2203,,10
5,6,9,,FM,Carbone Diego,2234,0,0 - 1,0,IM,Mieles Palau Daniel,2364,,8
