,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,4,,IM,Janik Igor,2495,0,1 - 0,0,,Obeid Omar,1327,,78
1,2,6,,GM,Bajarani Ulvi,2458,0,1 - 0,0,,Sudharshan K V,1288,,80
2,3,8,,IM,Schmakel Sam,2435,0,1 - 0,0,,Himanshu B Patra,1261,,82
3,4,10,,FM,Shapiro David,2395,0,1 - 0,0,,Harshana Pillai,1073,,84
4,5,12,,WGM,Tokhirjonova Gulrukhbegim,2362,0,1 - 0,0,,Anjou Raphael,0,,137
5,6,14,,,Saurabh Anand,2304,0,1 - 0,0,,Abdella Isaac,0,,114
6,7,16,,FM,La Villa Rivas Marlon Javier,2252,0,1 - 0,0,,Ahmad Shazia,0,,145
7,8,18,,,Quiroga Jaquez Angel Ivan,2214,0,1 - 0,0,,Aritra Chatterjee,0,,86
8,9,20,,,Ahmed Ahmed Alaa,2171,0,1 - 0,0,,Bauer Baptiste Henri,0,,95
9,10,22,,WFM,Shamatava Ana,2155,0,1 - 0,0,,Boyle Martin,0,,126
10,11,24,,,Santos Ricardo Alexandre Luis,2121,0,1 - 0,0,,Byrd Zuniga Hector Javib,0,,111
11,12,27,,WFM,Zhao Shengxin,2110,0,1 - 0,0,,Campbell Kahli,0,,120
12,13,29,,FM,Mollo Jhoan,2073,0,1 - 0,0,,Diaz Hernandez Arturo Jonathan,0,,94
13,14,33,,,Van Doren Bas,2032,0,0 - 1,0,,Fong Hector,0,,110
14,15,35,,,Du Yuxin,2014,0,1 - 0,0,,Gribbon Ben,0,,96
15,16,37,,,Mangold Noe,1993,0,1 - 0,0,,Hatem Elbassiouny Mariam,0,,125
16,17,41,,,Koukas Anastasios,1933,0,1 - 0,0,,Litner Igor,0,,113
17,18,43,,,Ghosh Samriddhaa,1910,0,1 - 0,0,,Ma Qianli,0,,136
18,19,45,,,Gutierrez Vargas Robert,1870,0,1 - 0,0,,Mbuthia Joseph,0,,116
19,20,47,,WCM,Camp Imogen A L,1849,0,0 - 1,0,,Moreno Lujan Josue,0,,117
20,21,49,,,Mourogiannis Konstantinos,1833,0,1 - 0,0,,Nogueira Joao,0,,119
21,22,51,,,Alshehri Tariq Nasser,1798,0,1 - 0,0,,R Sharwary M,0,,144
22,23,53,,,Mahtani Nitin,1773,0,1 - 0,0,,Ranoto Tumelo,0,,148
23,24,55,,,Lemi Daniel John,1752,0,1 - 0,0,,Rodriguez Palacios Nancy Lizbeth,0,,129
24,25,57,,,Kosmidis Nikolaos,1742,0,1 - 0,0,,Saini Sushant,0,,146
25,26,59,,,Maharramli Chingiz,1717,0,1 - 0,0,,Sanchez Salma,0,,143
26,27,61,,,Medina Murgado Lien,1707,0,0 - 1,0,,Singh Prashast Pratap,0,,135
27,28,63,,,Amangeldiyev Abylai,1676,0,1 - 0,0,,Soetanto Paul Samuel,0,,132
28,29,65,,,Koh Wei Heng Jeffery,1637,0,1 - 0,0,,Syeda Sadia  Huq,0,,112
29,30,67,,,Moreno Herrera Rodrigo,1633,0,1 - 0,0,,Tymczuk Noa,0,,130
30,31,69,,,Torres Flores  Marco,1593,0,1 - 0,0,,Tiwari Gourav,0,,106
31,32,71,,AIM,Devanshi Rathi,1559,0,1 - 0,0,,Yuan Yao Qian,0,,149
32,33,73,,,De Silva Shelani,1511,0,1 - 0,0,,Zhang Emily,0,,102
33,34,75,,,Mansour Halim,1385,0,0 - 1,0,GM,Bai Jinshi,2618,,1
34,35,77,,,Naitik Choudhary,1355,0,0 - 1,0,GM,Vokhidov Shamsiddin,2529,,3
35,36,81,,,Espinoza Briones Helen Ai,1266,0,0 - 1,0,IM,Brodsky David,2455,,7
36,37,83,,,Salim Azoobi,1176,0,0 - 1,0,FM,Elias Reyes Jorge Roberto,2428,,9
