,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,1,,IM,Subelj Jan,2338,0,1 - 0,0,,Krivenko Dion,1971,,11
1,2,12,,IM,Can Isik,1897,0,½ - ½,0,,Kushko Dmitriy,2311,,2
2,3,3,,FM,Nogerbek Kazybek,2308,0,1 - 0,0,,Reller Ole,1838,,13
3,4,14,,,Ayoub Georges,1799,0,0 - 1,0,FM,Fromm Marius,2299,,4
4,5,5,,FM,Morgunov Marc,2181,0,½ - ½,0,,Kien Clovis,1746,,15
5,6,16,,,Ribeiro Rodrigo,1738,0,0 - 1,0,,Goroshkov Maksym,2115,,6
6,7,7,,FM,Czernek Tymon,2085,0,1 - 0,0,,Gomez Barrera Gonzalo Andres,1602,,17
7,8,18,,AIM,Oosthuizen Michal Jacobus,1543,0,0 - 1,0,FM,Koziorowicz Michal,2076,,8
8,9,9,,FM,Redzisz Michal,2068,0,1 - 0,0,,Ayoub Alexandre,1399,,19
9,10,20,,,Mikulis Borsoi Luca,1340,0,0 - 1,0,FM,Ochedzan Tymon,2030,,10
