,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
65,6,10,2625,GM,Sekhar Ganguly Surya,1 - 0,GM,S.p Sethuraman,2644,15,PGN
66,7,11,2578,GM,Gukesh D,½ - ½,GM,Sengupta Deep,2527,14,PGN
67,8,12,2408,IM,Rithvik R Raja,1 - 0,IM,Krishnan P Saravana,2312,13,PGN
68,9,4,2506,GM,P Iniyan,0,,bye,0,-1,
69,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
70,1,14,2527,GM,Sengupta Deep,0 - 1,IM,Rithvik R Raja,2408,12,PGN
71,2,15,2644,GM,S.p Sethuraman,½ - ½,GM,Gukesh D,2578,11,PGN
72,3,16,2660,GM,Baskaran Adhiban,1 - 0,GM,Sekhar Ganguly Surya,2625,10,PGN
73,4,17,2305,FM,Vinay Kumar Matta,1 - 0,IM,Krishna Crg,2478,9,PGN
74,5,1,2463,IM,Srivatshav Peddi Rahul,1 - 0,FM,Singhania Vatsal,2371,8,PGN
75,6,2,2381,IM,S. Nitin,0 - 1,GM,Vasanthan Perumal Vishnu Prasanna,2476,7,PGN
76,7,3,2438,IM,Mittal Aditya,1 - 0,IM,Swaminathan Soumya,2351,6,PGN
77,8,4,2506,GM,P Iniyan,1 - 0,GM,S.L Narayanan,2624,5,PGN
78,9,13,2312,IM,Krishnan P Saravana,0,,bye,0,-1,
79,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
80,1,6,2351,IM,Swaminathan Soumya,0 - 1,GM,P Iniyan,2506,4,PGN
81,2,7,2476,GM,Vasanthan Perumal Vishnu Prasanna,1 - 0,IM,Mittal Aditya,2438,3,PGN
82,3,8,2371,FM,Singhania Vatsal,0 - 1,IM,S. Nitin,2381,2,PGN
83,4,9,2478,IM,Krishna Crg,1 - 0,IM,Srivatshav Peddi Rahul,2463,1,PGN
84,5,10,2625,GM,Sekhar Ganguly Surya,0 - 1,FM,Vinay Kumar Matta,2305,17,PGN
85,6,11,2578,GM,Gukesh D,1 - 0,GM,Baskaran Adhiban,2660,16,PGN
86,7,12,2408,IM,Rithvik R Raja,1 - 0,GM,S.p Sethuraman,2644,15,PGN
87,8,13,2312,IM,Krishnan P Saravana,0 - 1,GM,Sengupta Deep,2527,14,PGN
88,9,5,2624,GM,S.L Narayanan,0,,bye,0,-1,
89,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
90,1,15,2644,GM,S.p Sethuraman,1 - 0,IM,Krishnan P Saravana,2312,13,PGN
91,2,16,2660,GM,Baskaran Adhiban,1 - 0,IM,Rithvik R Raja,2408,12,PGN
92,3,17,2305,FM,Vinay Kumar Matta,0 - 1,GM,Gukesh D,2578,11,PGN
93,4,1,2463,IM,Srivatshav Peddi Rahul,1 - 0,GM,Sekhar Ganguly Surya,2625,10,PGN
94,5,2,2381,IM,S. Nitin,1 - 0,IM,Krishna Crg,2478,9,PGN
95,6,3,2438,IM,Mittal Aditya,1 - 0,FM,Singhania Vatsal,2371,8,PGN
96,7,4,2506,GM,P Iniyan,1 - 0,GM,Vasanthan Perumal Vishnu Prasanna,2476,7,PGN
97,8,5,2624,GM,S.L Narayanan,1 - 0,IM,Swaminathan Soumya,2351,6,PGN
98,9,14,2527,GM,Sengupta Deep,0,,bye,0,-1,
99,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
100,1,7,2476,GM,Vasanthan Perumal Vishnu Prasanna,½ - ½,GM,S.L Narayanan,2624,5,PGN
101,2,8,2371,FM,Singhania Vatsal,0 - 1,GM,P Iniyan,2506,4,PGN
102,3,9,2478,IM,Krishna Crg,1 - 0,IM,Mittal Aditya,2438,3,PGN
103,4,10,2625,GM,Sekhar Ganguly Surya,1 - 0,IM,S. Nitin,2381,2,PGN
104,5,11,2578,GM,Gukesh D,1 - 0,IM,Srivatshav Peddi Rahul,2463,1,PGN
105,6,12,2408,IM,Rithvik R Raja,1 - 0,FM,Vinay Kumar Matta,2305,17,PGN
106,7,13,2312,IM,Krishnan P Saravana,½ - ½,GM,Baskaran Adhiban,2660,16,PGN
107,8,14,2527,GM,Sengupta Deep,0 - 1,GM,S.p Sethuraman,2644,15,PGN
108,9,6,2351,IM,Swaminathan Soumya,0,,bye,0,-1,
109,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
110,1,16,2660,GM,Baskaran Adhiban,0 - 1,GM,Sengupta Deep,2527,14,PGN
111,2,17,2305,FM,Vinay Kumar Matta,1 - 0,IM,Krishnan P Saravana,2312,13,PGN
112,3,1,2463,IM,Srivatshav Peddi Rahul,0 - 1,IM,Rithvik R Raja,2408,12,PGN
113,4,2,2381,IM,S. Nitin,0 - 1,GM,Gukesh D,2578,11,PGN
114,5,3,2438,IM,Mittal Aditya,1 - 0,GM,Sekhar Ganguly Surya,2625,10,PGN
115,6,4,2506,GM,P Iniyan,1 - 0,IM,Krishna Crg,2478,9,PGN
116,7,5,2624,GM,S.L Narayanan,1 - 0,FM,Singhania Vatsal,2371,8,PGN
117,8,6,2351,IM,Swaminathan Soumya,0 - 1,GM,Vasanthan Perumal Vishnu Prasanna,2476,7,PGN
118,9,15,2644,GM,S.p Sethuraman,0,,bye,0,-1,
119,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
120,1,8,2371,FM,Singhania Vatsal,½ - ½,IM,Swaminathan Soumya,2351,6,PGN
121,2,9,2478,IM,Krishna Crg,1 - 0,GM,S.L Narayanan,2624,5,PGN
122,3,10,2625,GM,Sekhar Ganguly Surya,1 - 0,GM,P Iniyan,2506,4,PGN
123,4,11,2578,GM,Gukesh D,½ - ½,IM,Mittal Aditya,2438,3,PGN
124,5,12,2408,IM,Rithvik R Raja,½ - ½,IM,S. Nitin,2381,2,PGN
125,6,13,2312,IM,Krishnan P Saravana,0 - 1,IM,Srivatshav Peddi Rahul,2463,1,PGN
126,7,14,2527,GM,Sengupta Deep,1 - 0,FM,Vinay Kumar Matta,2305,17,PGN
127,8,15,2644,GM,S.p Sethuraman,½ - ½,GM,Baskaran Adhiban,2660,16,PGN
128,9,7,2476,GM,Vasanthan Perumal Vishnu Prasanna,0,,bye,0,-1,
129,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
130,1,17,2305,FM,Vinay Kumar Matta,0 - 1,GM,S.p Sethuraman,2644,15,PGN
131,2,1,2463,IM,Srivatshav Peddi Rahul,1 - 0,GM,Sengupta Deep,2527,14,PGN
132,3,2,2381,IM,S. Nitin,1 - 0,IM,Krishnan P Saravana,2312,13,PGN
133,4,3,2438,IM,Mittal Aditya,½ - ½,IM,Rithvik R Raja,2408,12,PGN
134,5,4,2506,GM,P Iniyan,1 - 0,GM,Gukesh D,2578,11,PGN
135,6,5,2624,GM,S.L Narayanan,0 - 1,GM,Sekhar Ganguly Surya,2625,10,PGN
136,7,6,2351,IM,Swaminathan Soumya,1 - 0,IM,Krishna Crg,2478,9,PGN
137,8,7,2476,GM,Vasanthan Perumal Vishnu Prasanna,½ - ½,FM,Singhania Vatsal,2371,8,PGN
138,9,16,2660,GM,Baskaran Adhiban,0,,bye,0,-1,
139,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
140,1,9,2478,IM,Krishna Crg,0 - 1,GM,Vasanthan Perumal Vishnu Prasanna,2476,7,PGN
141,2,10,2625,GM,Sekhar Ganguly Surya,½ - ½,IM,Swaminathan Soumya,2351,6,PGN
142,3,11,2578,GM,Gukesh D,½ - ½,GM,S.L Narayanan,2624,5,PGN
143,4,12,2408,IM,Rithvik R Raja,0 - 1,GM,P Iniyan,2506,4,PGN
144,5,13,2312,IM,Krishnan P Saravana,1 - 0,IM,Mittal Aditya,2438,3,PGN
145,6,14,2527,GM,Sengupta Deep,0 - 1,IM,S. Nitin,2381,2,PGN
146,7,15,2644,GM,S.p Sethuraman,½ - ½,IM,Srivatshav Peddi Rahul,2463,1,PGN
147,8,16,2660,GM,Baskaran Adhiban,1 - 0,FM,Vinay Kumar Matta,2305,17,PGN
148,9,8,2371,FM,Singhania Vatsal,0,,bye,0,-1,
149,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
150,1,1,2463,IM,Srivatshav Peddi Rahul,0 - 1,GM,Baskaran Adhiban,2660,16,PGN
151,2,2,2381,IM,S. Nitin,1 - 0,GM,S.p Sethuraman,2644,15,PGN
152,3,3,2438,IM,Mittal Aditya,1 - 0,GM,Sengupta Deep,2527,14,PGN
153,4,4,2506,GM,P Iniyan,1 - 0,IM,Krishnan P Saravana,2312,13,PGN
