,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,3,,GM,Lima Darcy,2522,0,1 - 0,0,WCM,Figueroa Julissa,1658,,14
1,2,13,,,Amigo Quintana Antu,1788,0,0 - 1,0,GM,Aguero Jimenez Luis Lazaro,2503,,4
2,3,5,,GM,Ibarra Chami Luis Fernando,2447,0,- - +,0,WFM,Munoz Monroy Cinthya Carolina,1969,,12
3,4,11,,,Carcamo Matias,2103,0,0 - 1,0,IM,Plotkin Mark,2430,,6
4,5,7,,IM,Avila Pavas Santiago,2373,0,1 - 0,0,CM,Vazquez Facundo,2199,,10
5,6,9,,WIM,Miranda Llanes Yerisbel,2262,0,½ - ½,0,IM,Duran Vega Sergio,2340,,8
