,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.,PGN
0,1,13,,,Francisca Kagwiria,1222,0,0 - 1,0,WCM,Wanjiru Lucy,1586,,1,PGN
1,2,2,,,Jumba Gloria,1570,0,1 - 0,0,,Gikandi Bernice Wambui,1156,,14,PGN
2,3,15,,,Kimani Wanjiru,1155,0,0 - 1,0,,Madelta Glenda,1455,,3,PGN
3,4,4,,,Kosgey Sheila Jerop,1362,0,1 - 0,0,,Njeri Maureen Kirigo,1142,,16,PGN
4,5,17,,,Mwashe Yvonne Adego,1092,0,0 - 1,0,,Muthoni Vivian,1360,,5,PGN
5,6,7,,,Mutisya Jully,1344,0,0 - 1,0,,Gichoya Michelle,1042,,18,PGN
6,7,19,,,Kimwere Annete,1030,0,0 - 1,0,,Obondo Cynthia Awino,1341,,8,PGN
7,8,9,,,Elizabeth Cassidy Maina,1290,0,0 - 1,0,,Kagambi Angel,0,,20,PGN
8,9,21,,,Njenga Caroline,0,0,- - +,0,,Matei Veronicah,1287,,10,
9,10,11,,,Nicole Albright,1237,0,0 - 1,0,,Njoroge Fiona,0,,22,PGN
10,11,23,,,Nyambura Ivy,0,0,0 - 1,0,,Karanja Ether,1224,,12,PGN
