,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,114,,,Madhvendra Pratap Sharma,1043,0,1 - 0,0,,Sakline Mostafa Sajid,1770,,1
1,2,2,,,Ahmad Khagan,1762,0,1 - 0,0,,Leung Shun Him,1034,,115
2,3,116,,,Artemis Sotiris,1030,0,0 - 1,0,,Dau Khuong Duy,1754,,3
3,4,4,,,Jaivardhan Raj,1745,0,1 - 0,0,,Listratov Klim,1015,,117
4,5,118,,AFM,Lee Yun Rui,0,0,0 - 1,0,,Momunaliev Ruslan,1726,,5
5,6,6,,,Federer Colin,1710,0,1 - 0,0,AFM,Parambrata Sarkar,0,,119
6,7,120,,,Adamowich Lebron Franco A.,0,0,0 - 1,0,,Petukhov Dmitriy,1685,,7
7,8,8,,,Kavin Mohan,1649,0,1 - 0,0,,Adamowich Lebron Mateo A.,0,,121
8,9,122,,,Adderley Dennis,0,0,- - +,0,,Rajaram Rohan,1648,,9
9,10,10,,,Kleimenov Nikolay,1645,0,1 - 0,0,,Agarwal Riyansh,0,,123
10,11,124,,,Akshaj Chaudhary,0,0,1 - 0,0,,Dong Kyle Qiyu,1628,,11
11,12,12,,,Munoz Ramos Christopher,1625,0,1 - 0,0,,Alamsyah Shawn,0,,125
12,13,126,,,Allahverdiyev Khanlar Anar,0,0,0 - 1,0,,Unsal Gorkem,1598,,13
13,14,14,,,Aeschbacher Dimitri,1595,0,1 - 0,0,,Almushammar Ammar Ammar,0,,127
14,15,128,,,Altansoyombo Davaadorj,0,0,0 - 1,0,,Zhu Harvey,1584,,15
15,16,16,,,Temirbekov Taimaz,1573,0,1 - 0,0,,Amartuvshin Battuvshin,0,,129
16,17,130,,,Amvrosiades Themistokles,0,0,0 - 1,0,,Jval Saurin Patel,1572,,17
17,18,18,,,Das Aditeya,1558,0,1 - 0,0,,Arredondo Huaman Thiago Albeiro,0,,131
18,19,132,,,Arsh Mathur,0,0,0 - 1,0,,Arutla Aditya,1555,,19
19,20,20,,,Nguyen Manh Duc,1552,0,1 - 0,0,,Batbaatar Baatar,0,,133
20,21,134,,,Batmanlai Munkhzul,0,0,0 - 1,0,,Golis Wiktor,1529,,21
21,22,22,,,Mendes Aaron Reeve,1520,0,1 - 0,0,,Berry Alexander,0,,135
22,23,136,,,Casiguran Phil Martin,0,0,1 - 0,0,,Vivaan Vijay Saraogi,1519,,23
23,24,24,,,Duong Vu Anh,1513,0,1 - 0,0,,Chen Youlin,0,,137
24,25,138,,,Combs Daniel,0,0,0 - 1,0,,Yurasov Matfey,1502,,25
25,26,26,,,Duarte Agustin,1500,0,1 - 0,0,,Cortes Adrian,0,,139
26,27,140,,,Crnjakovic Tom,0,0,- - +,0,AFM,Damodaran Patrick,1498,,27
27,28,28,,,Cong Guanbo,1496,0,1 - 0,0,,Danicic Anze,0,,141
28,29,142,,,Darshan S,0,0,½ - ½,0,,Bocos Delgado Jon,1485,,29
29,30,30,,,Fester Harel,1480,0,0 - 1,0,,Diaz Valles Favio Adrian,0,,143
30,31,144,,,Driscoll Samuel,0,0,0 - 1,0,,Sidorenja Radion,1472,,31
31,32,32,,,Batzaya Agibat,1462,0,1 - 0,0,,Eapen Johan,0,,145
32,33,146,,,Efraim Daniel,0,0,0 - 1,0,,Palaiologou Apostolos,1454,,34
33,34,35,,,Ekmekcioglu Gokdeniz,1451,0,½ - ½,0,,El Zein Zayne-Eddine,0,,147
34,35,148,,,Fabrega Jose Bernardo,0,0,0 - 1,0,,Radzimski Antoni,1449,,36
35,36,37,,,Smirnov Mark,1449,0,1 - 0,0,,Fogo Esquivel Levi Kalani Alexander,0,,149
36,37,150,,,Fuentes de Leon Tristan Samiel,0,0,- - +,0,,Chinmay Kowshik,1444,,38
37,38,39,,,Koehalmi-Szabo Mihaly,1441,0,1 - 0,0,,Galbaatar Erdenebaatar,0,,151
38,39,152,,,Gayle Raheem,0,0,0 - 1,0,,Wong Yen-Hsiu Elliot,1432,,40
39,40,41,,,Nguyen Quang Minh,1423,0,1 - 0,0,,Gonzalez Aguero Julian,0,,153
40,41,154,,,Guevara Ruiz Santiago Jose,0,0,0 - 1,0,,De Lima Theo Magalhaes,1421,,42
41,42,43,,,Serulnicoff Pedro,1419,0,1 - 0,0,,Gweshe Jordan,0,,155
42,43,156,,,Hanache Kai,0,0,1 - 0,0,,Po`e-Tofaeono Grayson,1411,,44
43,44,45,,,Casalaspro Mathias Andre,1407,0,1 - 0,0,,Hardwick Hugo,0,,157
44,45,158,,,Hazer Eren,0,0,0 - 1,0,,Kviriashvili Andria,1406,,46
45,46,47,,,Ruiz Bolanos Eithan,1404,0,0 - 1,0,,Jaikaran Aaron,0,,159
46,47,160,,,Jaiswal Sanskrit,0,0,0 - 1,0,AIM,Vaz Ethan,1384,,48
47,48,49,,,Brzezina Piotr,1372,0,0 - 1,0,,Jammalamadaka Vihaan,0,,161
48,49,162,,,Jimenez Puig Eduardo Michel,0,0,0 - 1,0,,Marynychenko Yehor,1367,,50
49,50,51,,,Tanmay Rajbongshi,1366,0,0 - 1,0,,Jin Zi Yang,0,,163
50,51,164,,,Johnson-Bartlett Khaleel,0,0,0 - 1,0,,Alvarez Alburquerque Leandro,1348,,52
51,52,53,,,Tatvidze Davit,1344,0,1 - 0,0,,Kagambi Jeremiah,0,,165
52,53,166,,,Kersemans Aeneas,0,0,0 - 1,0,,Kian Dishank Shah,1339,,54
53,54,55,,,Reyan Md.,1333,0,1 - 0,0,,Kiarie Joshua,0,,167
54,55,168,,,Kurt Ozgur Toprak,0,0,1 - 0,0,,Vandan Alankar Sawai,1331,,56
55,56,57,,,Dandeniya D D L N,1330,0,1 - 0,0,,Kymani Nkansah Donkor,0,,169
56,57,170,,,Liu Zachary Hankun,0,0,1 - 0,0,,Siddharth Sai,1320,,58
57,58,59,,,Borodich Miroslav,1317,0,1 - 0,0,,Logan Liam,0,,171
58,59,172,,,Lu Yiding,0,0,1 - 0,0,,Ammous Mahmoud,1316,,60
59,60,61,,,Gabadadze Gabriel,1309,0,1 - 0,0,,Lukhi Neev,0,,173
60,61,174,,,Luo Leon,0,0,1 - 0,0,,Qalabegashvili Data,1308,,62
61,62,63,,,Alybakov Nail,1307,0,1 - 0,0,,Lwenyeka Tumelo,0,,175
62,63,176,,,Mansurov Yusuf,0,0,- - +,0,,Somaraju Sai Vivan Karthikeya,1306,,64
63,64,65,,,Acheampong Dave Quansah Chief,1299,0,1 - 0,0,,Marchal Arsene,0,,177
64,65,178,,,Marenduzzo Ollie,0,0,0 - 1,0,,Przybys Bruno,1282,,66
65,66,67,,,Tsolmon Battur,1279,0,1 - 0,0,,Martin Cameron,0,,179
66,67,180,,,Maruseev Mikhail,0,0,0 - 1,0,,Sergelen Batbayar,1262,,68
67,68,69,,,Kukhianidze Giorgi,1258,0,1 - 0,0,,Mcdonald Jacob Frank,0,,181
68,69,182,,,Merriman Dann H,0,0,1 - 0,0,,Farzaleev Daniyar,1257,,70
69,70,71,,,Rayan Rashid Mugdho,1257,0,1 - 0,0,,Mocic Ivano,0,,183
70,71,184,,,Modith Aaroh Mutyalapati,0,0,1 - 0,0,,Apostolovski Filip,1248,,72
71,72,73,,,Dolmatov Dmitriy,1247,0,1 - 0,0,,Mohabir Julian,0,,185
72,73,186,,,Moonsammy Ethan Ryan,0,0,0 - 1,0,,Rukhadze Luka,1244,,74
73,74,75,,,Meesala Vamshi,1241,0,1 - 0,0,,Mukil Mukil,0,,187
74,75,188,,,Nefedov Mikhail,0,0,0 - 1,0,,Mamani Alvino Esdras Adrian,1240,,76
75,76,77,,,Muradali Kyan,1238,0,1 - 0,0,,Obrien Malachi,0,,189
76,77,190,,,Oro Faustino,0,0,1 - 0,0,,Muniz Henrique Rocha,1237,,78
77,78,79,,,Anuchyn Serhii,1227,0,1 - 0,0,,Palomino Quispe Mateo Henry,0,,191
78,79,192,,,Radia Shyam,0,0,0 - 1,0,AIM,Cajamarca Gordillo Sebastian Alejandro,1224,,80
79,80,81,,,Tuvshintulga Tumurchudur,1222,0,1 - 0,0,,Rana Oliver,0,,193
80,81,194,,,Renji Nathan Jacob,0,0,0 - 1,0,,Liu William Rui,1219,,82
81,82,83,,,Huseynov Ahmed,1216,0,1 - 0,0,,Sadigov Kamil,0,,195
82,83,196,,,Saiyed Hassan Ahmad,0,0,0 - 1,0,,Luk Danbe,1216,,84
83,84,85,,AIM,Premshankar B U,1211,0,1 - 0,0,,Salas Carbajal Bryan Abimael,0,,197
84,85,198,,,Salimu Chase,0,0,0 - 1,0,,Gvasalia Gaga,1211,,86
85,86,87,,,Alvarez Orellana Isai Jeremi,1209,0,1 - 0,0,,Samaraweera R B Sethum,0,,199
86,87,200,,,Senjo Dionis,0,0,0 - 1,0,,Poon Ee Rui,1209,,88
87,88,89,,,Muniz Facundo,1198,0,1 - 0,0,,Setiawan Gervasius Ludwig,0,,201
88,89,202,,,Shapiro Matthew,0,0,0 - 1,0,,Vardi Daniel,1194,,90
89,90,91,,,Amogh Bisht,1193,0,1 - 0,0,,Sharifov Tariyel,0,,203
90,91,204,,,Shergil Ronak,0,0,1 - 0,0,,Rashid Husain Alhammadi,1188,,92
91,92,93,,,Kalmykov Georgiy Al,1182,0,1 - 0,0,,Shetty Aryan,0,,205
92,93,206,,,Shivakumar Sahil,0,0,0 - 1,0,,Gorkov Kirill,1178,,94
93,94,95,,,Syed Ahnaf Tahmid Sami,1175,0,- - +,0,,Shneider Illia,0,,207
94,95,208,,,Singh Sawhney Yuvraj,0,0,1 - 0,0,,Vilca Contreras Dante Ivan,1165,,96
95,96,97,,,Vongrungrot Kritin,1163,0,1 - 0,0,,Soojay Josiah,0,,209
96,97,210,,,Swaminadha Aquilani,0,0,0 - 1,0,,Tolosa Christian,1162,,98
97,98,99,,,Prajeesh B U,1159,0,1 - 0,0,,Taji Abel,0,,211
98,99,213,,,Tavares Tahir,0,0,0 - 1,0,,Raihaan Zahid,1141,,100
99,100,101,,,Reyes Oshrie Jhames,1136,0,1 - 0,0,,Toledo Hillel,0,,214
100,101,215,,,Trigas Nicolas,0,0,0 - 1,0,,Bagateliya Nestor A,1135,,102
101,102,103,,,Lomadze Alexandr,1128,0,1 - 0,0,,Tugssanaa Onolt,0,,216
102,103,217,,,Vijayakumar Rishi,0,0,1 - 0,0,,Caballero Tabare,1123,,104
103,104,105,,,Khomisajie Muhd Ismakhaizuran,1117,0,1 - 0,0,,Vinales Gonzalez Enzo Mathias,0,,218
104,105,219,,,Wang Rocky,0,0,- - +,0,,Ramirez Camilla Renato,1117,,106
105,106,107,,,Kolla Bhaavan,1109,0,1 - 0,0,,Weber Gus,0,,220
106,107,221,,,Wimalarathne K G,0,0,0 - 1,0,,Murawski Jan,1108,,108
107,108,109,,,Mridav M,1105,0,1 - 0,0,,Wojtun Maksymilian,0,,222
108,109,223,,,Xiang Austin,0,0,0 - 1,0,,Salazar Salinas Rodrigo,1105,,110
109,110,111,,,Calleja Urry Nick,1087,0,0 - 1,0,,Yue Tariq,0,,224
110,111,225,,,Zhang Nicholas,0,0,0 - 1,0,,Vasquez Lopez Josue Gabriel,1046,,112
111,112,113,,,Coaquira Gonzales Oscar Adriano,1045,0,0 - 1,0,,Zhao George,0,,226
