,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,6,,,Lazovic Emilija,1293,0,0 - 1,0,,Mosurovic Milena,1868,,1
1,2,2,,,Lomakina Anzhelika,1809,0,1 - 0,0,,Radenkovic Mila,1226,,7
2,3,8,,WCM,Beukes Jamie-Nicole,1128,0,0 - 1,0,,Manko Mariya,1760,,3
3,4,4,,,Tadic Ana,1472,0,1 - 0,0,,Horn Lure,1066,,9
4,5,10,,,Abraham Siglinde I,1055,0,0 - 1,0,WCM,Nakanyike Maria,1459,,5
