,No.,Team,Team,Res.,:,Res.
0,1,  WC-I-Fantastic Fischer,  WC-I-Attacking Alekhine,5,:,0
1,2,  WC-I-Big Bishops,  WC-I-Rook & Roll,2,:,3
2,3,  WC-I-Victorious Vishy,  WC-I-Popular Polgar,5,:,0
3,4,  WC-I-Mysterious Magnus,  WC-I-Tactician Tal,2½,:,2½
