,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,1,,,Usov Aleksandr E.,2223,0,- - +,0,,Felix Raphael,1342,,101
1,2,102,,,Bianchi Santaria Andy Ronald,1328,0,0 - 1,0,CM,Mamedov Edgar,2168,,2
2,3,3,,CM,Manon Reja Neer,2162,0,1 - 0,0,,Huynh Le Minh Hoang,1326,,103
3,4,104,,,Murray Zachary,1323,0,0 - 1,0,CM,Warchol Kamil,2099,,4
4,5,5,,,Tabuenca Mendataurigoitia Dani,2099,0,1 - 0,0,,Jacobs Calvin Nicholas,1320,,105
5,6,106,,,Yao Henry,1313,0,0 - 1,0,,Poh Yu Tian,2081,,6
6,7,7,,CM,Nurgaliyev Sauat,2059,0,1 - 0,0,,Chan Wang Ip Boris,1311,,107
7,8,108,,,Alfaro Zambrano Luis Fabricio,1308,0,1 - 0,0,,Akhmedov David,2059,,8
8,9,9,,,Zemlyanskii Ivan,2013,0,1 - 0,0,,Kote Aleks,1307,,109
9,10,110,,,Toidze Tengiz,1307,0,0 - 1,0,CM,Xie Bryan,1998,,10
10,11,11,,,Toktomushev Teimur,1988,0,½ - ½,0,,Tushishvili Tamaz,1304,,111
11,12,112,,,Shi Michael,1301,0,1 - 0,0,,Mulawa Cyprian,1981,,12
12,13,13,,,Marrujo Pardo Mauricio Emmanuel,1969,0,1 - 0,0,,Boci Mateo,1299,,113
13,14,114,,,Liew Tze Hsien,1294,0,0 - 1,0,,Borgaonkar Akshay,1941,,14
14,15,15,,CM,Pham Tran Gia Phuc,1912,0,+ - -,0,,Tenguundalai Ganbat,1281,,115
15,16,116,,,Senan Ali Abdulla,1280,0,- - +,0,,Ang Ern Jie Anderson,1910,,16
16,17,17,,,Dentchouk Emmanuel,1900,0,1 - 0,0,,Saiai Purimprach,1276,,117
17,18,118,,,Ramos Enzo De Almeida,1272,0,0 - 1,0,,Azadaliyev Jahandar,1888,,18
18,19,19,,,Pang Brian,1888,0,1 - 0,0,,Arias Diaz Javier Alonso,1271,,119
19,20,120,,,Sarda Joao Sada,1271,0,0 - 1,0,,Efimov Leonid,1866,,20
20,21,21,,,Khoo-Thwe Louis,1863,0,- - +,0,CM,Hansana G Haritha,1269,,121
21,22,122,,,Lavrishchev Matvei,1264,0,0 - 1,0,,Brattgjerd Isak Vinh,1849,,22
22,23,24,,,Han Johnathan,1805,0,1 - 0,0,,Zangrilli Leonardo,1264,,123
23,24,124,,,Decraene Lotus,1263,0,1 - 0,0,,Fates Omer Salah,1804,,25
24,25,26,,,Xie Timothy,1796,0,1 - 0,0,,Lwenyeka Bupe,1263,,125
25,26,126,,,Sathish Abinavah,1259,0,0 - 1,0,,Sharshenbekov Emir,1794,,27
26,27,28,,,Dinh Nho Kiet,1792,0,1 - 0,0,,Gogiashvili Giorgi,1255,,127
27,28,128,,,Harvey Corbin,1255,0,0 - 1,0,,Fiorito Francisco,1791,,29
28,29,30,,,Kshatriya Nitin Vekhande,1782,0,1 - 0,0,,Lanzilotta Filippo,1239,,129
29,30,130,,,Mezni Elyes,1239,0,0 - 1,0,,Kiladze Luka,1775,,31
30,31,32,,,Sava Robert-Gabriel,1774,0,½ - ½,0,,Rajandu Aaron,1233,,131
31,32,132,,,Koosel Hans-Georg,1226,0,1 - 0,0,,Hvozdz Aliaksandr,1771,,33
32,33,34,,,Shearsby Jude,1762,0,1 - 0,0,,Kovacec Tilen,1223,,133
33,34,134,,,Sharifov Ramazan,1223,0,0 - 1,0,,Priansh Das,1754,,35
34,35,36,,CM,Tenuunbold Battulga,1753,0,1 - 0,0,,Ioannou Constantinos,1201,,135
35,36,136,,,Ortiz Bogdanov Santiago,1187,0,0 - 1,0,,Md. Sajidul Haque,1740,,37
36,37,38,,,Govoreanu Matei,1731,0,1 - 0,0,,Ramos Irizarry Miguel,1182,,137
37,38,138,,ACM,Hernandez Perez Javier Francisco,1181,0,0 - 1,0,,Sriansh Das,1731,,39
38,39,40,,AIM,Udipi Kala Kishan,1730,0,1 - 0,0,,Linares Orellana Hector Jose,1178,,139
39,40,140,,,Durmus Cinar,1166,0,1 - 0,0,,Lopez Naranjo Ubaldo Enrique,1718,,41
40,41,42,,,Ostrovsky Berman Noam,1699,0,1 - 0,0,,Liu Wenle,1162,,141
41,42,142,,,Pakkoutis Nicolas,1162,0,0 - 1,0,,Khoury Theo,1697,,43
42,43,44,,,Dzoba Demian,1692,0,1 - 0,0,,Kyriakides Andreas,1153,,143
43,44,144,,,Kachakhidze Nikoloz,1140,0,1 - 0,0,,Gao Oscar,1689,,45
44,45,46,,,Zheng Harry Z,1685,0,0 - 1,0,,Souryadipta Sarkar,1134,,145
45,46,146,,,Prasanna Lokesh Chandankhede,1131,0,0 - 1,0,AGM,Arca Christian Gian Karlo,1681,,47
46,47,48,,,Bharadia Yash,1675,0,1 - 0,0,,Galagedara Thehara T Vakeesan,1118,,147
47,48,148,,,Hettiarachchi Jeewantha Aloka,1118,0,1 - 0,0,,Guo Andrew,1674,,49
48,49,50,,,Nirnay Garg,1671,0,½ - ½,0,,Miranda Fernandez Marcos Manuel,1112,,149
49,50,150,,,Glavac Leo,1111,0,0 - 1,0,,Sitsanis Nikolaos 44725,1660,,51
50,51,52,,,Peralta Maximo,1654,0,½ - ½,0,,Moreyra Saravia Juan De Dios,1105,,151
51,52,152,,,Kemularia Nika,1103,0,½ - ½,0,,Lin Leo,1650,,53
