,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
52,53,54,,,Mrinmoy Rajkhowa,1634,0,1 - 0,0,,Reyes Rivera Jose Isaac,1066,,154
53,54,155,,,Keber Aljosa,1062,0,- - +,0,,Lai Hong Jun,1595,,55
54,55,56,,,Biyiksiz Ali Batuhan,1594,0,1 - 0,0,,Madhvendra Pratap Sharma,1043,,156
55,56,157,,,Al Abeed Seraj Aldin,0,0,0 - 1,0,,Nguyen Vuong Tung Lam,1588,,57
56,57,58,,,Giorgadze Giorgi,1583,0,1 - 0,0,,Ali Ahaq Amin,0,,158
57,58,159,,,Aponte Torres Diego J.,0,0,0 - 1,0,,Apoorv Kamble,1579,,59
58,59,60,,,Renji Rafael Ninan,1576,0,1 - 0,0,,Arhimow Mohamed Salem,0,,160
59,60,161,,,Arnez Vargas Anderson,0,0,0 - 1,0,,Sidabutar Uriel Noah Oloan,1573,,61
60,61,62,,,Buto Al-Basher,1568,0,1 - 0,0,,Cardenas Huachaca Alessandro Jair,0,,162
61,62,163,,,Carrillo Fonseca Miguel Angel,0,0,1 - 0,0,,Khazhatuly Alikhan,1559,,63
62,63,64,,,Cu Ivan Travis,1547,0,1 - 0,0,,Chuluunbaatar Gerelmaa,0,,164
63,64,165,,,Duurenkhishig Bat-Erdene,0,0,1 - 0,0,,Jalovec Igor,1539,,65
64,65,66,,,Kazantzoglou Stefanos,1534,0,1 - 0,0,,Enoe Micaiah,0,,166
65,66,167,,,Gilbody Thomas,0,0,0 - 1,0,,Morell Oscar,1529,,67
66,67,68,,,Camargo Silva Samir,1528,0,1 - 0,0,,Gilmore Kobe Joseph,0,,168
67,68,169,,,Guevara Ruiz Marvin Andres,0,0,½ - ½,0,,Wang Alexander J,1497,,69
68,69,70,,CM,Bilegsaikhan Odbayar,1489,0,1 - 0,0,,Jeshurun Obiri Yeboah Pryce-Tandoh,0,,170
69,70,171,,,Jiang Lucas Zirui,0,0,0 - 1,0,,Plazas Jacob,1483,,71
70,71,72,,,Gadhavi Veerbhadrasinh,1481,0,1 - 0,0,,Kaleeswaran Jaidev,0,,172
71,72,173,,,Kao Jamison Edrich,0,0,0 - 1,0,,Abhyuday Santhosh,1474,,73
72,73,74,,,Cardarelli Leon,1472,0,+ - -,0,,Leonel Joaquim Soares,0,,174
73,74,175,,,Mammadov Ismayil,0,0,0 - 1,0,,Po`e-Tofaeono Hunter,1463,,75
74,75,76,,,Gordon Frederick,1456,0,1 - 0,0,,Mathenge Gichuga,0,,176
75,76,177,,,Mayers Christian,0,0,0 - 1,0,,Guach Rodriguez Marco Antonio,1456,,77
76,77,78,,,Celik Ege Yigit,1448,0,1 - 0,0,,Mungal Ethan,0,,178
77,78,179,,,Olando Paul Jnr,0,0,0 - 1,0,,Luo Will,1443,,79
78,79,80,,,Shamsuddin Sayyid Usmon,1434,0,1 - 0,0,,Palaniswamy Drisith,0,,180
79,80,181,,,Potgieter Werne,0,0,1 - 0,0,,Battistelli Fausto,1431,,81
80,81,82,,,Herrera Pedroso Alex,1422,0,0 - 1,0,,Powell Najae,0,,182
81,82,183,,,Rajkumar Mahir Adrian,0,0,1 - 0,0,,Ashvath Mittal,1419,,83
82,83,84,,,Azher Hossain,1406,0,1 - 0,0,,Rosich Lopez Walter,0,,184
83,84,185,,,Sahinoglu Cinar,0,0,0 - 1,0,,Samuel Bisnath Kael,1406,,85
84,85,86,,,Dhruva Thota,1403,0,1 - 0,0,,Samuel Pierrebourg,0,,186
85,86,187,,,Sanchez Terreros Miguel Adan,0,0,0 - 1,0,,Claure Verastegui Rene David,1402,,87
86,87,88,,,Farias Jaque Maximiliano,1395,0,0 - 1,0,,Santiago Perez Luis Yamil,0,,188
87,88,189,,,Shariff Omar Afzal,0,0,0 - 1,0,,Kjartansson Matthias Bjorgvin,1389,,89
88,89,90,,,Kucelj Kevin,1389,0,0 - 1,0,,Shuping Remoletile,0,,190
89,90,191,,,Silva Arellano Miguel Arturo,0,0,0 - 1,0,,Yen Gideon,1385,,91
90,91,92,,AIM,Vaz Ethan,1384,0,1 - 0,0,,Sinton Luc,0,,192
91,92,193,,,Smikle Zahmir,0,0,0 - 1,0,,Rolston Daniel Haruma,1381,,93
92,93,94,,,Lopez Rodriguez Abel,1378,0,1 - 0,0,,Suleman Abdullah Agha,0,,194
93,94,195,,,Tan Steven,0,0,1 - 0,0,,Glas Bruno,1375,,95
94,95,96,,,Purnama Patrick,1373,0,½ - ½,0,,Tuguldur Soninbayar,0,,196
95,96,197,,,Vadalia Jainill,0,0,1 - 0,0,,Tejerina Lazarte Juan Carlos,1364,,97
96,97,98,,,Hobson Kenneth,1358,0,1 - 0,0,,White Max,0,,198
97,98,199,,,Yoshimoto Kazki,0,0,0 - 1,0,,Goutham Krishna H,1352,,99
98,99,100,,,Tabatadze Erekle,1343,0,1 - 0,0,,Zhang Alexander,0,,200
