,Bo.,No.,Rtg, ,,Name,Result,,Name, ,Rtg,No.,PGN
0,1,1,2163,,,Shah Ansh M,1 - 0,GM,Rohde Michael,,2348,10,PGN
1,2,2,2179,,FM,Amburgy Ryan,½ - ½,CM,Hardaway Brewington,,2172,9,PGN
2,3,3,2279,,FM,Huston Gus,½ - ½,FM,Adewumi Tanitoluwa,,2269,8,PGN
3,4,4,2282,,IM,Lund Silas,1 - 0,,Yang Qindong,,2158,7,PGN
4,5,5,2142,,AGM,Tanenbaum Zachary,1 - 0,GM,Georgiev Vladimir,,2442,6,PGN
5,Bo.,No.,Rtg, ,,Name,Result,,Name, ,Rtg,No.,PGN
6,1,10,2348,,GM,Rohde Michael,½ - ½,GM,Georgiev Vladimir,,2442,6,PGN
7,2,7,2158,,,Yang Qindong,½ - ½,AGM,Tanenbaum Zachary,,2142,5,PGN
8,3,8,2269,,FM,Adewumi Tanitoluwa,0 - 1,IM,Lund Silas,,2282,4,PGN
9,4,9,2172,,CM,Hardaway Brewington,0 - 1,FM,Huston Gus,,2279,3,PGN
10,5,1,2163,,,Shah Ansh M,½ - ½,FM,Amburgy Ryan,,2179,2,PGN
11,Bo.,No.,Rtg, ,,Name,Result,,Name, ,Rtg,No.,PGN
12,1,2,2179,,FM,Amburgy Ryan,1 - 0,GM,Rohde Michael,,2348,10,PGN
13,2,3,2279,,FM,Huston Gus,0 - 1,,Shah Ansh M,,2163,1,PGN
14,3,4,2282,,IM,Lund Silas,½ - ½,CM,Hardaway Brewington,,2172,9,PGN
15,4,5,2142,,AGM,Tanenbaum Zachary,1 - 0,FM,Adewumi Tanitoluwa,,2269,8,PGN
16,5,6,2442,,GM,Georgiev Vladimir,½ - ½,,Yang Qindong,,2158,7,PGN
17,Bo.,No.,Rtg, ,,Name,Result,,Name, ,Rtg,No.,PGN
18,1,10,2348,,GM,Rohde Michael,1 - 0,,Yang Qindong,,2158,7,PGN
19,2,8,2269,,FM,Adewumi Tanitoluwa,1 - 0,GM,Georgiev Vladimir,,2442,6,PGN
20,3,9,2172,,CM,Hardaway Brewington,½ - ½,AGM,Tanenbaum Zachary,,2142,5,PGN
21,4,1,2163,,,Shah Ansh M,1 - 0,IM,Lund Silas,,2282,4,PGN
22,5,2,2179,,FM,Amburgy Ryan,0 - 1,FM,Huston Gus,,2279,3,PGN
23,Bo.,No.,Rtg, ,,Name,Result,,Name, ,Rtg,No.,PGN
24,1,3,2279,,FM,Huston Gus,½ - ½,GM,Rohde Michael,,2348,10,PGN
25,2,4,2282,,IM,Lund Silas,0 - 1,FM,Amburgy Ryan,,2179,2,PGN
26,3,5,2142,,AGM,Tanenbaum Zachary,1 - 0,,Shah Ansh M,,2163,1,PGN
27,4,6,2442,,GM,Georgiev Vladimir,0 - 1,CM,Hardaway Brewington,,2172,9,PGN
28,5,7,2158,,,Yang Qindong,½ - ½,FM,Adewumi Tanitoluwa,,2269,8,PGN
29,Bo.,No.,Rtg, ,,Name,Result,,Name, ,Rtg,No.,PGN
30,1,10,2348,,GM,Rohde Michael,1 - 0,FM,Adewumi Tanitoluwa,,2269,8,PGN
31,2,9,2172,,CM,Hardaway Brewington,0 - 1,,Yang Qindong,,2158,7,PGN
32,3,1,2163,,,Shah Ansh M,0 - 1,GM,Georgiev Vladimir,,2442,6,PGN
33,4,2,2179,,FM,Amburgy Ryan,½ - ½,AGM,Tanenbaum Zachary,,2142,5,PGN
34,5,3,2279,,FM,Huston Gus,1 - 0,IM,Lund Silas,,2282,4,PGN
35,Bo.,No.,Rtg, ,,Name,Result,,Name, ,Rtg,No.,PGN
36,1,4,2282,,IM,Lund Silas,½ - ½,GM,Rohde Michael,,2348,10,PGN
37,2,5,2142,,AGM,Tanenbaum Zachary,0 - 1,FM,Huston Gus,,2279,3,PGN
38,3,6,2442,,GM,Georgiev Vladimir,1 - 0,FM,Amburgy Ryan,,2179,2,PGN
39,4,7,2158,,,Yang Qindong,0 - 1,,Shah Ansh M,,2163,1,PGN
40,5,8,2269,,FM,Adewumi Tanitoluwa,1 - 0,CM,Hardaway Brewington,,2172,9,PGN
41,Bo.,No.,Rtg, ,,Name,Result,,Name, ,Rtg,No.,PGN
42,1,10,2348,,GM,Rohde Michael,½ - ½,CM,Hardaway Brewington,,2172,9,PGN
43,2,1,2163,,,Shah Ansh M,0 - 1,FM,Adewumi Tanitoluwa,,2269,8,PGN
44,3,2,2179,,FM,Amburgy Ryan,½ - ½,,Yang Qindong,,2158,7,PGN
45,4,3,2279,,FM,Huston Gus,½ - ½,GM,Georgiev Vladimir,,2442,6,PGN
46,5,4,2282,,IM,Lund Silas,½ - ½,AGM,Tanenbaum Zachary,,2142,5,PGN
47,Bo.,No.,Rtg, ,,Name,Result,,Name, ,Rtg,No.,PGN
48,1,5,2142,,AGM,Tanenbaum Zachary,0 - 1,GM,Rohde Michael,,2348,10,PGN
49,2,6,2442,,GM,Georgiev Vladimir,½ - ½,IM,Lund Silas,,2282,4,PGN
50,3,7,2158,,,Yang Qindong,0 - 1,FM,Huston Gus,,2279,3,PGN
51,4,8,2269,,FM,Adewumi Tanitoluwa,½ - ½,FM,Amburgy Ryan,,2179,2,PGN
52,5,9,2172,,CM,Hardaway Brewington,1 - 0,,Shah Ansh M,,2163,1,PGN
