,Bo.,No., ,,Name,FED,Rtg,Pts.,Result,Pts.,,Name,FED,Rtg, ,No.
0,1,8,,,"Stronk,Klaus",GER,1726,0,0 - 1,0,,"De Luna Butz,Alberto",ESP,1765,,2
1,2,3,,,"Silini,Jalel",GER,1762,0,0 - 1,0,,"Becker,Ralph",GER,1709,,9
2,3,10,,,"Bauer,Dieter",GER,1694,0,0 - 1,0,,"Marcinowski,Marek",POL,1755,,4
3,4,5,,,"Ring,Rudolf",AUT,1749,0,½ - ½,0,,"Bornand,Herbert",SUI,1684,,11
4,5,12,,,"Krause,Helmut",GER,1627,0,½ - ½,0,,"Gautier,Marc",FRA,1744,,6
5,6,1,,,"Goldschmidt,Raimar,Dr.",GER,1800,0,1 - 0,0,,"Florea,Dorina",ROU,1741,,7
