,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,1,,FM,Uskov Artem,2377,0,1 - 0,0,,Torosyan Volodya,1639,,78
1,2,79,,,Mrinmoy Rajkhowa,1635,0,0 - 1,0,,Movahed Sina,2345,,2
2,3,3,,FM,Mamedov Edgar,2313,0,1 - 0,0,,Stichter Constantin Paul,1620,,80
3,4,81,,,Tolmacevs Romans,1618,0,0 - 1,0,,Dotzer Lukas,2245,,4
4,5,5,,,Ahmad Khagan,2196,0,0 - 1,0,,Arakelyan Manvel,1617,,82
5,6,83,,,Kabinazar Nurmukhammed,1616,0,0 - 1,0,,Delgerdalai Bayarjavkhlan,2190,,6
6,7,7,,,Ilinca Ilinca Felix Antonio,2184,0,½ - ½,0,,Khazhatuly Alikhan,1611,,84
7,8,85,,AFM,Janukshan B,1605,0,0 - 1,0,,Rey Martinez Jaime,2168,,8
8,9,9,,CM,Nurgaliyev Sauat,2133,0,0 - 1,0,,Weerasekara Dishal Nimsara,1599,,86
9,10,87,,,Sternfeld Tomer,1592,0,½ - ½,0,,Besou Hussain,2119,,10
10,11,11,,,Mohammadyansichani Arshia,2117,0,1 - 0,0,,Sanjay Vasu,1579,,88
11,12,89,,,Qian Eric,1572,0,0 - 1,0,AIM,Villa Tornero Alex,2114,,12
12,13,13,,,Mompel Ferruz Xavier,2096,0,1 - 0,0,,Mukhsinov Mukhammad Yusuf,1556,,90
13,14,91,,ACM,Yun Hungi,1542,0,1 - 0,0,,Bogdanov Artyom,2093,,14
14,15,15,,,Tulendinov Dinmukhammed,2076,0,1 - 0,0,,Omarsson Josef,1540,,92
15,16,93,,,Sidorenja Radion,1530,0,0 - 1,0,AIM,Udipi Kala Kishan,2075,,16
16,17,17,,,Lisenkov Svyatoslav,2069,0,1 - 0,0,,Mahmudzade Yunis,1527,,94
17,18,95,,,Ammous Mahmoud,1522,0,0 - 1,0,,Sowinski Pawel,2050,,18
18,19,19,,,Kuru Atilla,2042,0,1 - 0,0,,Siddharth Sai,1505,,96
19,20,97,,,Qalabegashvili Data,1502,0,0 - 1,0,,Temirbekov Taimaz,2042,,20
20,21,21,,,Dau Khuong Duy,2026,0,1 - 0,0,,Gorkov Kirill,1501,,98
21,22,99,,,Kazhmuratov Altair,1501,0,1 - 0,0,,Zander Emil,2025,,22
22,23,23,,CM,Vemparala Nikash,2016,0,1 - 0,0,,Mungal Ethan,1493,,100
23,24,101,,,Atanasov Aleksandar,1485,0,0 - 1,0,,Dinh Nho Kiet,1977,,24
24,25,25,,,Fedosov Alexander,1956,0,1 - 0,0,,Vandan Alankar Sawai,1481,,102
25,26,103,,,Borizov Rustam,1476,0,1 - 0,0,,Huh Isaak,1954,,26
26,27,27,,,Goutham Krishna H,1940,0,1 - 0,0,,Bokhodirov Abdulkodir,1470,,104
27,28,105,,,Syzdyk Samir,1470,0,0 - 1,0,CM,Lebedev Artem S.,1932,,28
28,29,29,,,Hebbar Eshaan,1931,0,1 - 0,0,,Sailaubay Aldiyar,1459,,106
29,30,107,,,Isbatov Kanan,1437,0,½ - ½,0,AFM,Kharitonov Maksim,1930,,30
30,31,31,,,Tudor Henry Edward,1927,0,1 - 0,0,,Tsoy Maxim,1424,,108
31,32,109,,AFM,Koo Minjun,1406,0,0 - 1,0,,Roubal Matyas,1923,,32
32,33,33,,,Durucay Uygar,1918,0,1 - 0,0,,Mezni Elyes,1402,,110
33,34,111,,,Da Silva Kauan Salvagni Teles,1400,0,0 - 1,0,,Bukreev Stanislav,1889,,34
