,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
0,1,2,2311,FM,Mulenga Prince Daniel,½ - ½,FM,Munenga Douglas D,2337,6
1,2,3,2251,IM,Mwali Chitumbo,1 - 0,IM,Phiri Richmond,2339,1
2,3,4,2239,,Luanja Geoffrey,0 - 1,IM,Kayonde Andrew,2393,5
3,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
4,1,3,2251,IM,Mwali Chitumbo,½ - ½,FM,Munenga Douglas D,2337,6
5,2,4,2239,,Luanja Geoffrey,1 - 0,FM,Mulenga Prince Daniel,2311,2
6,3,5,2393,IM,Kayonde Andrew,0 - 1,IM,Phiri Richmond,2339,1
7,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
8,1,1,2339,IM,Phiri Richmond,0 - 1,FM,Munenga Douglas D,2337,6
9,2,2,2311,FM,Mulenga Prince Daniel,½ - ½,IM,Kayonde Andrew,2393,5
10,3,3,2251,IM,Mwali Chitumbo,1 - 0,,Luanja Geoffrey,2239,4
11,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
12,1,6,2337,FM,Munenga Douglas D,½ - ½,,Luanja Geoffrey,2239,4
13,2,5,2393,IM,Kayonde Andrew,1 - 0,IM,Mwali Chitumbo,2251,3
14,3,1,2339,IM,Phiri Richmond,½ - ½,FM,Mulenga Prince Daniel,2311,2
15,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
16,1,6,2337,FM,Munenga Douglas D,½ - ½,IM,Kayonde Andrew,2393,5
17,2,1,2339,IM,Phiri Richmond,0 - 1,,Luanja Geoffrey,2239,4
18,3,2,2311,FM,Mulenga Prince Daniel,0 - 1,IM,Mwali Chitumbo,2251,3
19,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
20,1,6,2337,FM,Munenga Douglas D,½ - ½,FM,Mulenga Prince Daniel,2311,2
21,2,1,2339,IM,Phiri Richmond,0 - 1,IM,Mwali Chitumbo,2251,3
22,3,5,2393,IM,Kayonde Andrew,1 - 0,,Luanja Geoffrey,2239,4
23,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
24,1,6,2337,FM,Munenga Douglas D,0 - 1,IM,Mwali Chitumbo,2251,3
25,2,2,2311,FM,Mulenga Prince Daniel,1 - 0,,Luanja Geoffrey,2239,4
26,3,1,2339,IM,Phiri Richmond,½ - ½,IM,Kayonde Andrew,2393,5
27,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
28,1,6,2337,FM,Munenga Douglas D,½ - ½,IM,Phiri Richmond,2339,1
29,2,5,2393,IM,Kayonde Andrew,½ - ½,FM,Mulenga Prince Daniel,2311,2
30,3,4,2239,,Luanja Geoffrey,0 - 1,IM,Mwali Chitumbo,2251,3
31,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
32,1,4,2239,,Luanja Geoffrey,½ - ½,FM,Munenga Douglas D,2337,6
33,2,3,2251,IM,Mwali Chitumbo,+ - -,IM,Kayonde Andrew,2393,5
34,3,2,2311,FM,Mulenga Prince Daniel,½ - ½,IM,Phiri Richmond,2339,1
35,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
36,1,5,2393,IM,Kayonde Andrew,- - +,FM,Munenga Douglas D,2337,6
37,2,4,2239,,Luanja Geoffrey,½ - ½,IM,Phiri Richmond,2339,1
38,3,3,2251,IM,Mwali Chitumbo,½ - ½,FM,Mulenga Prince Daniel,2311,2
