,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.,PGN
0,1,23,,,Volkmann Andre Jordi,2092,0,1 - 0,0,FM,Becerra Juan David,2296,,1,PGN
1,2,2,,FM,Bouget Alexandre,2277,0,1 - 0,0,,Messala Noureddine,2090,,24,PGN
2,3,25,,FM,Cmiel Thorsten,2044,0,½ - ½,0,FM,Abdilkhair Abilmansur,2257,,3,PGN
3,4,4,,,Rusev Jeliazko,2255,0,0 - 1,0,,Khamidov Komil,2035,,26,PGN
4,5,27,,AGM,Ishbaev Avazbek,2033,0,1 - 0,0,,Cherniack Alex,2246,,5,PGN
5,6,6,,CM,Bendayan Claros Aaron,2243,0,1 - 0,0,,Malinarski Yehuda,2032,,28,PGN
6,7,29,,FM,Singh Arvinder Preet,2022,0,1 - 0,0,CM,Jaskolka Tomasz,2226,,7,PGN
7,8,8,,FM,Ciganovic Nikola,2215,0,1 - 0,0,,Papadimitriou Loukas,2013,,30,PGN
8,9,31,,WFM,Gorozhankina Julia,2007,0,½ - ½,0,FM,Schnelzer Reinhold  Dr.,2178,,9,PGN
9,10,10,,CM,Popiol Michal,2177,0,1 - 0,0,,Lochte Thomas,1999,,32,PGN
10,11,33,,,Beshara Nadi,1998,0,0 - 1,0,,Michalek Michal,2153,,11,PGN
11,12,12,,FM,Matras Ondrej,2146,0,1 - 0,0,WFM,Grigoryan Meri,1993,,34,PGN
12,13,35,,,Favier Alain,1985,0,0 - 1,0,,Bourgois Bastien,2137,,13,PGN
13,14,14,,,Gonzalez Henry Singer,2127,0,1 - 0,0,FM,Psaila Clarence,1978,,36,PGN
14,15,37,,,Fox Anthony,1958,0,0 - 1,0,,Ohler Julius,2116,,15,
15,16,16,,,Hurtado Bahamonde Rodrigo,2111,0,1 - 0,0,WFM,Degrande Marigje,1943,,38,
16,17,39,,,Kordzadze Nino,1926,0,0 - 1,0,CM,Panjkovic Aleksandar,2110,,17,
17,18,18,,,Grasso Gaetano,2107,0,0 - 1,0,,Said Oliver,1914,,40,
18,19,41,,,Deligiannis Christos Nikolaos,1905,0,0 - 1,0,FM,Lam Daniel King Wai,2101,,19,
19,20,20,,,Krzyzanowski Patryk,2097,0,1 - 0,0,,Bigabylov Zhuban,1881,,42,
20,21,44,,AIM,Mizzi Jack,1808,0,1 - 0,0,,Minnican Alan,2096,,21,
21,22,22,,AGM,Orgil Gantumur,2094,0,+ - -,0,,Antony Jesumarian Leslie,1790,,45,
