,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,12,,,Chege Kairu,1778,0,+ - -,0,,Gohil Mehul,2014,,1
1,2,2,,,Namale Ben Nguku,2000,0,1 - 0,0,,Mukoko Isaac,1774,,14
2,3,15,,,Shile Lenny Mataiga,1751,0,0 - 1,0,,Hinga Githinji,1970,,3
3,4,4,,,Ngani Victor,1965,0,½ - ½,0,,Maina Chris,1736,,16
4,5,17,,,Maigua Joseph Ngooro,1732,0,1 - 0,0,,Sang Ricky,1917,,5
5,6,6,,,Ndegwa Jackson Kamau,1910,0,0 - 1,0,,Hugh Misiko Okonga,1661,,18
6,7,19,,,Oruke Glen Kingoina,1645,0,0 - 1,0,,Nyaga James Kabui,1855,,7
7,8,8,,,Mwangi John Milton Kihara,1839,0,1 - 0,0,,Vincent Odhiambo,1543,,20
8,9,21,,,Ian King,1518,0,0 - 1,0,,Sagwa Hillary,1820,,9
9,10,10,,,Shafat Abdi Nasir Mohamed,1804,0,- - +,0,,Collins Jerry,1506,,22
10,11,23,,,Martin Mambo,1458,0,0 - 1,0,,Singe Philip Mbawala,1795,,11
