,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,1,,,Kukushkin Ivan,1662,0,1 - 0,0,,Vedrickas Vytis,1024,,17
1,2,18,,,Bhat Dhruv,0,0,0 - 1,0,,Modith Aaroh Mutyalapati,1598,,2
2,3,3,,,Pathak Raghav,1415,0,1 - 0,0,,Eapen Johan,0,,19
3,4,20,,,Guntaka Aayansh R,0,0,0 - 1,0,AFM,Safin Safarullakhan,1379,,4
4,5,5,,,Jakhria Kushal,1367,0,1 - 0,0,,Joubert Joshua Johannes,0,,21
5,6,22,,,Kriuchkov Nikita,0,0,0 - 1,0,,Vihaan Anupam Agrawal,1325,,6
6,7,7,,,Keshari Krish,1214,0,0 - 1,0,,Kruger Derik,0,,23
7,8,24,,,Loeffelholz Jonas,0,0,0 - 1,0,,Tamiolakis Grigorios,1187,,8
8,9,9,,,Stoyanov Victor,1183,0,0 - 1,0,,Meitzner Jonathan Franz,0,,25
9,10,26,,,Orman Attila,0,0,0 - 1,0,,Popov Aleksandr And,1175,,10
10,11,11,,,Kovacs Balazs,1162,0,1 - 0,0,,Peray Ata,0,,27
11,12,28,,,Soojay Josiah,0,0,0 - 1,0,,Zhauynbay Alimzhan,1155,,12
12,13,13,,,Skouroupathis Kyriakos,1152,0,1 - 0,0,,Tobak Severyn,0,,29
13,14,30,,,Trejbal Jindrich,0,0,1 - 0,0,,Kais Kristofer,1091,,14
14,15,15,,,Zahariev Velislav,1071,0,1 - 0,0,,Tzermiadianos Dimitrios,0,,31
15,16,32,,,Vedrickas Aistis,0,0,0 - 1,0,,Ashwath Kaushik,1038,,16
