,No.,Team,Team,Res.,:,Res.
0,1,  WC-AB-Popular Polgar,  WC-AB-Victorious Vishy,3½,:,1½
1,2,  WC-AB-Mysterious Magnus,  WC-AB-Rook & Roll,2,:,3
2,3,  WC-AB-Attacking Alekhine,  WC-AB-Fantastic Fischer,1,:,4
3,4,  WC-AB-Tactician Tal,  WC-AB-Big Bishops,0,:,5
