,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,20,,,Gregoric Andraz,1860,0,0 - 1,0,FM,Petrovskyi Vadym,2347,,1
1,2,2,,,Laux Dominik,2232,0,1 - 0,0,FM,Borrmann Laurenz,1847,,21
2,3,22,,,Pick Max,1841,0,0 - 1,0,FM,Tobak Mikhail,2159,,3
3,4,4,,,Garner Isaac,2076,0,0 - 1,0,,Klugstedt Vincent,1811,,23
4,5,24,,,Ribeiro Gustavo,1758,0,0 - 1,0,,Trushko Andrii,2065,,5
5,6,6,,,Pidluznij Gleb,2051,0,1 - 0,0,,Tomasjan Samuel,1741,,25
6,7,26,,,Ohler Julius,1688,0,0 - 1,0,,Rakhmatullaev Almas,2050,,7
7,8,8,,,Ince Taylan Ruzgar,2018,0,1 - 0,0,,Goncalves Lucas Jordao,1642,,27
8,9,28,,,Urbani Gabriel,1610,0,0 - 1,0,CM,Nareks Matic,1972,,9
9,10,10,,FM,Chyzy Jakub,1951,0,1 - 0,0,,Kusiak Mateusz,1606,,29
10,11,30,,FM,Tarhan Adar,1580,0,½ - ½,0,,Hercegovac Neven,1945,,11
11,12,12,,,Herega Nejc,1940,0,1 - 0,0,,Liloni Francesco Mattia,1555,,31
12,13,32,,,Candian Lorenzo,1530,0,0 - 1,0,,Andreev Konstantin,1928,,13
13,14,14,,CM,Olenik Campa Rudi,1917,0,1 - 0,0,,Pelling Kyle,1522,,33
14,15,34,,,Dzjuba Jegor,1440,0,0 - 1,0,,Kovalskyi Roman,1897,,15
15,16,16,,,Mikko Rondo,1892,0,1 - 0,0,,Diakidis Kostas Michail Georgi,1384,,35
16,17,36,,,Kien Lancelot,1308,0,0 - 1,0,,Franc Borna,1874,,17
17,18,18,,,Skrbec Leon,1873,0,+ - -,0,,Kruger Christoffel,0,,37
18,19,38,,,Stadler Helgard,0,0,0 - 1,0,,Javornik Nik,1864,,19
