,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,1,,GM,Batsuren Dambasuren,2504,0,1 - 0,0,,Ehrlich Roy,2182,,16
1,2,15,,CM,Liyanage Ranindu Dilshan,2203,0,1 - 0,0,GM,Henderson De La Fuente Lance,2491,,2
2,3,3,,IM,Saksham Rautela,2480,0,½ - ½,0,FM,Dushyant Sharma,2261,,14
3,4,13,,,Panesar Vedant,2266,0,0 - 1,0,IM,Wang Justin,2456,,4
4,5,5,,IM,Aronyak Ghosh,2440,0,1 - 0,0,FM,Rodrigue-Lemieux Shawn,2276,,12
5,6,11,,FM,Makoveev Ilya,2306,0,1 - 0,0,IM,Sankalp Gupta,2433,,6
6,7,7,,FM,Spyropoulos Nikolaos,2425,0,1 - 0,0,FM,Kavyev Ruslan,2306,,10
7,8,9,,FM,Alonso Garcia Aaron,2376,0,0 - 1,0,IM,Harshavardhan G B,2397,,8
