,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,19,,,Kovalskyi Roman,1897,0,0 - 1,0,FM,Petrovskyi Vadym,2400,,1
1,2,2,,,Garner Isaac,2283,0,1 - 0,0,,Ribeiro Gustavo,1873,,20
2,3,21,,,Skrbec Leon,1851,0,0 - 1,0,,Laux Dominik,2231,,3
3,4,4,,,Trushko Andrii,2222,0,1 - 0,0,,Pick Max,1841,,22
4,5,23,,FM,Tarhan Adar,1802,0,0 - 1,0,CM,Nareks Matic,2147,,5
5,6,6,,CM,Olenik Campa Rudi,2076,0,1 - 0,0,,Klugstedt Vincent,1796,,24
6,7,25,,,Ohler Julius,1677,0,½ - ½,0,FM,Tobak Mikhail,2068,,7
7,8,8,,,Herega Nejc,2047,0,0 - 1,0,,Kusiak Mateusz,1631,,26
8,9,27,,,Urbani Gabriel,1610,0,0 - 1,0,,Pidluznij Gleb,2044,,9
9,10,10,,,Hercegovac Neven,2003,0,1 - 0,0,,Goncalves Lucas Jordao,1577,,28
10,11,29,,,Kien Lancelot,1517,0,0 - 1,0,FM,Chyzy Jakub,2002,,11
11,12,12,,FM,Borrmann Laurenz,1990,0,1 - 0,0,,Tomasjan Samuel,1515,,30
12,13,31,,,Pelling Kyle,1487,0,0 - 1,0,,Mikko Rondo,1968,,13
13,14,14,,,Rakhmatullaev Almas,1956,0,1 - 0,0,,Candian Lorenzo,1393,,32
14,15,33,,,Diakidis Kostas Michail Georgi,1384,0,0 - 1,0,,Gregoric Andraz,1948,,15
15,16,16,,,Andreev Konstantin,1939,0,½ - ½,0,,Ince Taylan Ruzgar,1335,,34
16,17,35,,,Dzjuba Jegor,1223,0,0 - 1,0,,Javornik Nik,1920,,17
17,18,18,,,Franc Borna,1901,0,1 - 0,0,,Liloni Francesco Mattia,1195,,36
