,No.,Team,Team,Res.,:,Res.
0,1,  Morgan Stanley (HUN),  Rambler,4,:,0
1,2,  RingCentral,  Rosseti Volga,1½,:,2½
2,3,  WASKO,  M&G Investment Management (SCO),4,:,0
3,4,  Airbus (ESP),  Gazprom,0,:,4
4,5,  LIC,  UBS Telangana,4,:,0
5,6,  Akshayakalpa Farms and Foods,  Optiver,½,:,3½
6,7,  Societe Generale,  Architalia Design,1½,:,2½
7,8,  Sorting Hat Technologies Unacademy,  Tensor,1,:,3
8,9,  Tata Consultancy Services Europe,  Cummins,3½,:,½
9,10,  One Reliance,  Moscow School of Management Skolkovo,1,:,3
10,11,  Indra Sistemas,  LCCI,3½,:,½
11,12,  Tata Communications (ESP),  Cognizant Tamil Nadu,½,:,3½
12,13,  Ernst & Young,  Vodafone (IND),4,:,0
13,14,  Profiq,  E-Zest Solutions,0,:,4
14,15,  Buhler,  Adeo,3,:,1
15,16,  SGS,  Samsung R&D Bangalore,1,:,3
16,17,  Google Mumbai,  Clearing Corporation of India,4,:,0
17,18,  Napoleon IT,  Bosch Karnataka,2,:,2
18,19,  Arcelormittal,  Engys,3,:,1
