,No.,Team,Team,Res.,:,Res.
0,1,  Bindrich-Mendow,  Link-Knaak,1,:,1
1,2,  Britschgi-Tabin,  Hirneise-Brown,1,:,1
2,3,  Skembris-Kandler,  Matzat-Arndt,½,:,1½
3,4,  Visschedijk-Visschedijk,  Synnestvedt-Nygaard,0,:,2
4,5,  Povah-Black,  Lammens-Bakker,2,:,0
5,6,  Morgenstern-Heymann,  Baumann-Giebel,2,:,0
6,7,  Becker-Baumgarten,  Nielsen-Jensen,0,:,2
7,8,  Warsitz-Warsitz,  Hebenstreit-Hebenstreit,1,:,1
8,9,  Lagerborg-Bergström,  Hahmann-Moje,2,:,0
9,10,"  van de Wynkele,R.-Dockx",  Mrdja-Bajec,1,:,1
10,11,  Krüger-Krüger,  Lankat-Ludin,1,:,1
11,12,  Edoecs-Hüttinger,  bye,2,:,
