,No.,Team,Team,Res.,:,Res.
0,1,  33rd Secondary School,  Green Village Chess Academy,2½,:,2½
1,2,  Istanbul Erkek Lisesi Team,  School #1,½,:,4½
2,3,  Gymnazium Petra Bezruce,  Csanyi Alapitvany Gyermekekert,3,:,2
