,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,22,,FM,Donko Matyas,1882,0,½ - ½,0,IM,Farkas Tibor,2254,,1
1,2,2,,,Dolnik Attila,2191,0,½ - ½,0,,Toth Kazmer,1868,,23
2,3,24,,,Szogi Zoltan,1835,0,0 - 1,0,FM,Farkas Gyula,2146,,3
3,4,4,,FM,Harmatosi Jozsef,2140,0,1 - 0,0,,Bona Zoltan,1825,,25
4,5,26,,,Meszaros Edmond Vilmos,1776,0,0 - 1,0,FM,Simonyi Zoltan,2112,,5
5,6,6,,,Szabados Karoly,2109,0,1 - 0,0,,Pilisi Lukacs,1767,,27
6,7,28,,,Meszaros Vilmos,1744,0,½ - ½,0,,Barczi Tibor,2072,,7
7,8,8,,,Varjas Sandor,2047,0,½ - ½,0,,Hideg Ferenc Bendeguz,1722,,29
8,9,30,,,Mihaly Zoltan,1717,0,0 - 1,0,,Varadi Laszlo,2045,,9
9,10,10,,,Sagi Bence,2036,0,½ - ½,0,,Serfozo Adam,1694,,31
10,11,32,,,Szamoskozi Peter,1673,0,½ - ½,0,,Kosa Jeno,2024,,11
11,12,12,,,Ilonczai Levente-David,2011,0,1 - 0,0,,Bacsa Zoltan,1645,,33
12,13,34,,,Nagy Noemi,1634,0,½ - ½,0,,Urban Gabor,2004,,13
13,14,14,,,Kovacs Sztriko Zoltan,1997,0,1 - 0,0,,Hideg Gergo Benedek,1534,,35
14,15,36,,,Tompa Zoltan,1497,0,0 - 1,0,,Banszegi Attila,1975,,15
15,16,16,,,Csuri Szilveszter,1967,0,1 - 0,0,,Hideg Istvan Benjamin,1429,,37
16,17,38,,,Molnar Lidia Emilia,1391,0,0 - 1,0,,Toth Matyas,1938,,17
17,18,18,,,Vrona Mihail,1934,0,1 - 0,0,,Ilonczai Levente-Istvan,1364,,39
18,19,40,,,Tuzes Gyula,1213,0,0 - 1,0,,Gyopos Istvan,1930,,20
19,20,21,,,Bicskei Mihaly,1889,0,0 - 1,0,,Berki Bela,0,,41
