,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
0,1,1,2220,,Okas Walter,½ - ½,FM,Nsubuga Haruna,2135,6,PGN
1,2,2,2323,FM,Kawuma Patrick,1 - 0,FM,Wanyama Harold,2312,5,PGN
2,3,3,2283,IM,Emojong Elijah,0 - 1,IM,Ssegwanyi Arthur,2395,4,PGN
3,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
4,1,6,2135,FM,Nsubuga Haruna,0 - 1,IM,Ssegwanyi Arthur,2395,4,PGN
5,2,5,2312,FM,Wanyama Harold,½ - ½,IM,Emojong Elijah,2283,3,PGN
6,3,1,2220,,Okas Walter,½ - ½,FM,Kawuma Patrick,2323,2,PGN
7,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
8,1,2,2323,FM,Kawuma Patrick,0 - 1,FM,Nsubuga Haruna,2135,6,PGN
9,2,3,2283,IM,Emojong Elijah,0 - 1,,Okas Walter,2220,1,PGN
10,3,4,2395,IM,Ssegwanyi Arthur,1 - 0,FM,Wanyama Harold,2312,5,PGN
11,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
12,1,6,2135,FM,Nsubuga Haruna,0 - 1,FM,Wanyama Harold,2312,5,PGN
13,2,1,2220,,Okas Walter,0 - 1,IM,Ssegwanyi Arthur,2395,4,PGN
14,3,2,2323,FM,Kawuma Patrick,½ - ½,IM,Emojong Elijah,2283,3,PGN
15,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
16,1,3,2283,IM,Emojong Elijah,1 - 0,FM,Nsubuga Haruna,2135,6,PGN
17,2,4,2395,IM,Ssegwanyi Arthur,0 - 1,FM,Kawuma Patrick,2323,2,PGN
18,3,5,2312,FM,Wanyama Harold,1 - 0,,Okas Walter,2220,1,PGN
19,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
20,1,6,2135,FM,Nsubuga Haruna,0 - 1,,Okas Walter,2220,1,PGN
21,2,5,2312,FM,Wanyama Harold,0 - 1,FM,Kawuma Patrick,2323,2,PGN
22,3,4,2395,IM,Ssegwanyi Arthur,0 - 1,IM,Emojong Elijah,2283,3,PGN
23,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
24,1,4,2395,IM,Ssegwanyi Arthur,1 - 0,FM,Nsubuga Haruna,2135,6,PGN
25,2,3,2283,IM,Emojong Elijah,0 - 1,FM,Wanyama Harold,2312,5,PGN
26,3,2,2323,FM,Kawuma Patrick,½ - ½,,Okas Walter,2220,1,PGN
27,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
28,1,6,2135,FM,Nsubuga Haruna,0 - 1,FM,Kawuma Patrick,2323,2,PGN
29,2,1,2220,,Okas Walter,0 - 1,IM,Emojong Elijah,2283,3,PGN
30,3,5,2312,FM,Wanyama Harold,0 - 1,IM,Ssegwanyi Arthur,2395,4,PGN
31,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
32,1,5,2312,FM,Wanyama Harold,0 - 1,FM,Nsubuga Haruna,2135,6,PGN
33,2,4,2395,IM,Ssegwanyi Arthur,1 - 0,,Okas Walter,2220,1,PGN
34,3,3,2283,IM,Emojong Elijah,0 - 1,FM,Kawuma Patrick,2323,2,PGN
35,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
36,1,6,2135,FM,Nsubuga Haruna,1 - 0,IM,Emojong Elijah,2283,3,PGN
37,2,2,2323,FM,Kawuma Patrick,½ - ½,IM,Ssegwanyi Arthur,2395,4,PGN
38,3,1,2220,,Okas Walter,0 - 1,FM,Wanyama Harold,2312,5,PGN
