,Bo.,No., ,,Name,FED,Rtg,Pts.,Result,Pts.,,Name,FED,Rtg, ,No.
0,1,1,,GM,Carlsen Magnus *),NOR,2842,0,1 - 0,0,GM,Gagunashvili Merab,GEO,2538,,89
1,2,90,,GM,Donchenko Alexander,GER,2535,0,0 - 1,0,GM,Nakamura Hikaru,USA,2836,,2
2,3,3,,GM,Duda Jan-Krzysztof,POL,2801,0,1 - 0,0,GM,Gabuzyan Hovhannes,ARM,2535,,91
3,4,92,,GM,Mastrovasilis Dimitrios,GRE,2534,0,0 - 1,0,GM,Nepomniachtchi Ian,CFR,2798,,4
4,5,5,,GM,Vachier-Lagrave Maxime,FRA,2773,0,½ - ½,0,GM,Durarbayli Vasif,AZE,2532,,93
5,6,94,,GM,Klekowski Maciej,POL,2528,0,0 - 1,0,GM,Caruana Fabiano,USA,2770,,6
6,7,7,,GM,Giri Anish,NED,2767,0,½ - ½,0,GM,Pichot Alan,ARG,2523,,95
7,8,96,,IM,Murzin Volodar,CFR,2523,0,0 - 1,0,GM,Grischuk Alexander,CFR,2763,,8
8,9,9,,GM,Karjakin Sergey,CFR,2757,0,½ - ½,0,GM,Christiansen Johan-Sebastian,NOR,2522,,97
9,10,98,,GM,Moroni Luca Jr,ITA,2519,0,0 - 1,0,GM,Rapport Richard,HUN,2750,,10
10,11,11,,GM,Wojtaszek Radoslaw,POL,2743,0,½ - ½,0,GM,Michalik Peter,CZE,2515,,99
11,12,100,,GM,Petrosyan Manuel,ARM,2514,0,0 - 1,0,GM,Dubov Daniil,CFR,2735,,12
12,13,13,,GM,Salem A.R. Saleh,UAE,2729,0,0 - 1,0,GM,Yuffa Daniil,ESP,2514,,101
13,14,102,,GM,Maghsoodloo Parham,IRI,2512,0,½ - ½,0,GM,Aronian Levon,USA,2728,,14
14,15,15,,GM,Mamedyarov Shakhriyar,AZE,2727,0,1 - 0,0,GM,Czarnota Pawel,POL,2511,,103
15,16,104,,GM,Sanal Vahap,TUR,2509,0,½ - ½,0,GM,Oparin Grigoriy,CFR,2725,,16
16,17,17,,GM,Artemiev Vladislav,CFR,2714,0,1 - 0,0,GM,Shevchenko Kirill,UKR,2508,,105
17,18,106,,GM,Lima Darcy,BRA,2505,0,1 - 0,0,GM,Harikrishna Pentala,IND,2705,,18
18,19,19,,GM,Shirov Alexei,ESP,2702,0,½ - ½,0,GM,Nihal Sarin,IND,2500,,107
19,20,108,,GM,Gajewski Grzegorz,POL,2496,0,½ - ½,0,GM,Sargissian Gabriel,ARM,2693,,20
20,21,21,,GM,Fedoseev Vladimir,CFR,2692,0,½ - ½,0,GM,Nguyen Thai Dai Van,CZE,2488,,109
21,22,110,,GM,Harsha Bharathakoti,IND,2484,0,1 - 0,0,GM,Mamedov Rauf,AZE,2690,,22
22,23,23,,GM,Korobov Anton,UKR,2689,0,½ - ½,0,GM,Narayanan.S.L,IND,2482,,111
23,24,112,,GM,Zilka Stepan,CZE,2474,0,0 - 1,0,GM,Onyshchuk Volodymyr,UKR,2687,,24
24,25,25,,GM,Saric Ivan,CRO,2684,0,½ - ½,0,GM,Puranik Abhimanyu,IND,2472,,113
25,26,114,,IM,Janik Igor,POL,2462,0,½ - ½,0,GM,Sarana Alexey,CFR,2680,,26
26,27,27,,GM,Jobava Baadur,GEO,2679,0,1 - 0,0,GM,Sychev Klementy,CFR,2461,,115
27,28,116,,IM,Faizrakhmanov Ramil,CFR,2461,0,½ - ½,0,GM,Svane Rasmus,GER,2677,,28
28,29,29,,GM,Paravyan David,CFR,2671,0,½ - ½,0,GM,Kantor Gergely,HUN,2454,,117
29,30,118,,GM,Postny Evgeny,ISR,2454,0,0 - 1,0,GM,Movsesian Sergei,ARM,2667,,30
30,31,31,,GM,Demchenko Anton,CFR,2666,0,½ - ½,0,GM,Sadhwani Raunak,IND,2454,,119
31,32,120,,GM,Gumularz Szymon,POL,2452,0,½ - ½,0,GM,Smirin Ilia,ISR,2663,,32
32,33,33,,GM,Firouzja Alireza,FRA,2656,0,½ - ½,0,IM,Costachi Mihnea,ROU,2443,,121
33,34,122,,GM,Heberla Bartlomiej,POL,2437,0,½ - ½,0,GM,Matlakov Maxim,CFR,2652,,34
34,35,35,,GM,Gelfand Boris,ISR,2648,0,1 - 0,0,GM,Carlsson Pontus,SWE,2436,,123
