,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
0,1,1,2782,GM,Nepomniachtchi Ian,½ - ½,GM,Carlsen Magnus,2855,2
1,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
2,1,2,2855,GM,Carlsen Magnus,½ - ½,GM,Nepomniachtchi Ian,2782,1
3,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
4,1,1,2782,GM,Nepomniachtchi Ian,½ - ½,GM,Carlsen Magnus,2855,2
5,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
6,1,2,2855,GM,Carlsen Magnus,½ - ½,GM,Nepomniachtchi Ian,2782,1
7,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
8,1,1,2782,GM,Nepomniachtchi Ian,½ - ½,GM,Carlsen Magnus,2855,2
9,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
10,1,2,2855,GM,Carlsen Magnus,1 - 0,GM,Nepomniachtchi Ian,2782,1
11,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
12,1,1,2782,GM,Nepomniachtchi Ian,½ - ½,GM,Carlsen Magnus,2855,2
13,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
14,1,2,2855,GM,Carlsen Magnus,1 - 0,GM,Nepomniachtchi Ian,2782,1
15,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
16,1,1,2782,GM,Nepomniachtchi Ian,0 - 1,GM,Carlsen Magnus,2855,2
17,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
18,1,2,2855,GM,Carlsen Magnus,½ - ½,GM,Nepomniachtchi Ian,2782,1
19,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
20,1,1,2782,GM,Nepomniachtchi Ian,0 - 1,GM,Carlsen Magnus,2855,2
21,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
22,1,2,2855,GM,Carlsen Magnus,,GM,Nepomniachtchi Ian,2782,1
23,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
24,1,1,2782,GM,Nepomniachtchi Ian,,GM,Carlsen Magnus,2855,2
25,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
26,1,2,2855,GM,Carlsen Magnus,,GM,Nepomniachtchi Ian,2782,1
