,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,5,,,Koscal Lazar,1492,0,0 - 1,0,FM,Mitusov Semen,2185,,1
1,2,2,,,Sidletskyi Ivan,1852,0,1 - 0,0,,Mwase Mathew,1396,,6
2,3,7,,,Jane Galeshewe,1294,0,0 - 1,0,,Milosavljevic Teodor,1829,,3
3,4,4,,,Stankovic Boris,1791,0,1 - 0,0,,Becker Stefan,0,,8
