,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
0,1,4,2215,FM,"Black,Richard",½ - ½,FM,"Osmanbegovic,Suad",2306,1
1,2,3,2238,IM,"Biro,Sandor",1 - 0,IM,"Povah,Nigel E",2283,2
2,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
3,1,3,2238,IM,"Biro,Sandor",½ - ½,FM,"Black,Richard",2215,4
4,2,2,2283,IM,"Povah,Nigel E",1 - 0,FM,"Osmanbegovic,Suad",2306,1
5,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
6,1,4,2215,FM,"Black,Richard",½ - ½,IM,"Povah,Nigel E",2283,2
7,2,1,2306,FM,"Osmanbegovic,Suad",1 - 0,IM,"Biro,Sandor",2238,3
8,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
9,1,1,2306,FM,"Osmanbegovic,Suad",1 - 0,FM,"Black,Richard",2215,4
10,2,2,2283,IM,"Povah,Nigel E",0 - 1,IM,"Biro,Sandor",2238,3
11,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
12,1,4,2215,FM,"Black,Richard",0 - 1,IM,"Biro,Sandor",2238,3
13,2,1,2306,FM,"Osmanbegovic,Suad",½ - ½,IM,"Povah,Nigel E",2283,2
14,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
15,1,2,2283,IM,"Povah,Nigel E",1 - 0,FM,"Black,Richard",2215,4
16,2,3,2238,IM,"Biro,Sandor",½ - ½,FM,"Osmanbegovic,Suad",2306,1
17,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
18,1,4,2215,FM,"Black,Richard",½ - ½,FM,"Osmanbegovic,Suad",2306,1
19,2,3,2238,IM,"Biro,Sandor",0 - 1,IM,"Povah,Nigel E",2283,2
20,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
21,1,3,2238,IM,"Biro,Sandor",1 - 0,FM,"Black,Richard",2215,4
22,2,2,2283,IM,"Povah,Nigel E",1 - 0,FM,"Osmanbegovic,Suad",2306,1
23,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
24,1,4,2215,FM,"Black,Richard",1 - 0,IM,"Povah,Nigel E",2283,2
25,2,1,2306,FM,"Osmanbegovic,Suad",½ - ½,IM,"Biro,Sandor",2238,3
