,No.,Team,Team,Res.,:,Res.
0,1,  BCG Gamma,  Intellias,4,:,0
1,2,  QNB Finansbank,  CSOB,0,:,4
2,3,  ERG,  STU Ergo Hestia,2,:,2
3,4,  Vestas,  Emirates,1,:,3
4,5,  Gordic,  Bajaj Auto,4,:,0
5,6,  GoodtobeBetter,  Credit Suisse,0,:,4
6,7,  Tata Consultancy Services Chennai,  Showpad,4,:,0
7,8,  Microsoft Pennsylvania,  Kaspersky,0,:,4
8,9,  SG Stern,  Airbus (IND),4,:,0
9,10,  Tata Consultancy Services Pune,  Rosseti,0,:,4
10,11,  Kaissa Consulting,  Visitech,3½,:,½
11,12,  Thrievni Earthmovers,  VK.com,0,:,4
12,13,  Lanit Moscow,  Mokate,3,:,1
13,14,  Razorpay,  ALRUD Law Firm,2,:,2
14,15,  Vodafone (GER),  SOCAR AQS,4,:,0
15,16,  LinkedIn Mumbai,  Equinor,½,:,3½
16,17,  DE Shaw,  UBS Noida,4,:,0
17,18,  Evaneos,  SII Global,0,:,4
18,19,  Sourcico,  Septeo Pole Immobilier,3,:,1
