,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.,PGN
0,1,56,,,Kreken Eivind Grunt,2083,0,0 - 1,0,IM,Pranav Anand,2494,,1,PGN
1,2,2,,IM,Pranesh M,2437,0,1 - 0,0,,Skreko Igor,2082,,57,PGN
2,3,58,,CM,Anghel Iulian-Mihai,2053,0,0 - 1,0,FM,Razafindratsima Timothe,2431,,3,PGN
3,4,4,,,Lutsko Artem,2431,0,1 - 0,0,,Pevzner Maks,2053,,59,PGN
4,5,60,,,Tampea Radu,2052,0,½ - ½,0,FM,Sokolovsky Yahli,2426,,5,PGN
5,6,6,,FM,Droin Augustin,2408,0,1 - 0,0,,Triboi Alexander,2052,,61,PGN
6,7,62,,,Zakharov Alexey O.,2052,0,0 - 1,0,IM,Ohanyan Emin,2395,,7,PGN
7,8,8,,FM,Lamaze Simon,2384,0,1 - 0,0,,Shnurov Daniil,2042,,63,PGN
8,9,64,,,Adamovics Aleksejs,2037,0,0 - 1,0,FM,Macias Pino Diego,2381,,9,PGN
9,10,10,,FM,Levin Guy,2378,0,0 - 1,0,,Vo Pham Thien Phuc,2037,,65,PGN
10,11,66,,,Liloni Francesco Mattia,2034,0,0 - 1,0,FM,Filip Andrei,2356,,11,PGN
11,12,12,,FM,Culum Sanjin,2351,0,1 - 0,0,,Kazmierowski Tymon,2025,,67,PGN
12,13,68,,,Ytrestoyl Sindre Lyngsaunet,2013,0,0 - 1,0,FM,Karolczuk Iwo,2338,,13,PGN
13,14,14,,FM,Davtyan Arsen,2327,0,1 - 0,0,,Xhembulla Aleksander,2011,,69,
14,15,70,,,Sahakyan Aleks,2002,0,½ - ½,0,FM,Koutlas Nikolaos,2316,,15,
15,16,16,,FM,Tobak Mikhail,2312,0,0 - 1,0,,Shonazarov Orash,1994,,71,PGN
16,17,72,,,Lovcican Tomas,1993,0,0 - 1,0,FM,Deviprasath Sharvesh,2301,,17,PGN
17,18,18,,FM,Talibov Shiroghlan,2299,0,1 - 0,0,,Erne Raphael,1992,,73,PGN
18,19,74,,,Borodety Itamar,1980,0,1 - 0,0,FM,Farokhi Keyvan,2292,,19,PGN
19,20,20,,FM,Smolik Jachym,2283,0,1 - 0,0,,Huang Youhe,1968,,75,PGN
20,21,76,,,Oltean Cristian-Daniel,1966,0,0 - 1,0,FM,Borrmann Laurenz,2282,,21,
21,22,22,,FM,Nastore Pavel-Alexandru,2279,0,1 - 0,0,,Melinte Rares-Andrei,1958,,77,
22,23,78,,,Christodoulou Panormitis,1941,0,0 - 1,0,CM,Nguyen Quoc Hy,2268,,23,
23,24,24,,CM,Loftgaard Mikkel Vinh,2267,0,½ - ½,0,CM,Khalifah Khaled,1938,,79,
24,25,80,,,Sabitov Ilyas,1924,0,½ - ½,0,,Elmi Saad Abobaker,2267,,25,
25,26,26,,,Laux Dominik,2248,0,1 - 0,0,,Voicu Teodor-Mihnea,1924,,81,
26,27,82,,,Ihlen Sivert,1919,0,0 - 1,0,CM,Creanga Robert-Ionut,2245,,27,
27,28,28,,FM,Chyzy Jakub,2244,0,1 - 0,0,,Pelech Roee,1906,,83,
28,29,84,,,Ismail Mohammed Aayan,1893,0,½ - ½,0,CM,Nedelcu Teodor-Cosmin,2242,,29,
29,30,30,,,Kienboeck Benjamin,2241,0,1 - 0,0,,Arkadan Adib,1884,,85,
30,31,86,,,Safarov Deniel,1881,0,1 - 0,0,,Marakovits Nico,2236,,31,
31,32,32,,,Krishnan Ritvik,2222,0,1 - 0,0,,Vanduyfhuys Igor,1870,,87,
32,33,88,,,Mizzi Jack,1863,0,½ - ½,0,,Tashev Aleksandar,2222,,33,
33,34,34,,FM,Harshad S,2218,0,1 - 0,0,,Nabil Nazar Mohamed,1861,,89,
34,35,90,,,Sheahan Ben,1857,0,0 - 1,0,FM,Siniauski Artsiom,2217,,35,
35,36,36,,CM,Yavuz Efe Metehan,2215,0,1 - 0,0,,Moldagali Beksultan,1848,,91,
36,37,92,,,Madhavan Sanjith,1846,0,0 - 1,0,FM,Stankovic Boris,2208,,37,
37,38,38,,,Fishchuk Vladyslav,2206,0,0 - 1,0,,Costescu Mihnea-Constantin,1825,,93,
38,39,94,,,Rudzkis Vilius,1807,0,0 - 1,0,,Asllani Dorian,2203,,39,
39,40,40,,,Slagboom Leandro,2201,0,1 - 0,0,,Polkki Eino,1793,,95,
40,41,96,,,Tapaev Totuhan,1784,0,0 - 1,0,,Kovac Petar,2198,,41,
41,42,42,,,Lerch Johannes,2192,0,½ - ½,0,,Visanescu Dragos-Nicholas,1770,,97,
42,43,98,,,Gotsiridze Davit,1745,0,0 - 1,0,,Baranciuc Alexandr,2184,,43,
43,44,44,,,Sachilaru Alexandru,2183,0,1 - 0,0,,Zajakins Artjoms,1730,,99,
44,45,100,,,Rosca Mario-Andrei,1707,0,0 - 1,0,CM,Kanov Nikola,2176,,45,
45,46,46,,,Pegno Mattia,2173,0,1 - 0,0,,Jitea Andrei-Cristian,1641,,101,
46,47,102,,,Leonte Luca F.,1547,0,½ - ½,0,,Zlatkov Anton,2165,,47,
47,48,48,,,Szikszai Bertalan,2155,0,1 - 0,0,,Al Zadjali Abdul Rahman,1534,,103,
48,49,104,,,Karam Youssef Mark,1488,0,0 - 1,0,,Zhou Aiden,2151,,49,
49,50,50,,,Djurovic Peko,2147,0,1 - 0,0,,Hamdan Edrees Alhamed,1467,,105,
50,51,106,,,Chakroun Wael,1463,0,1 - 0,0,FM,Amilal Munkhdalai,2137,,51,
51,52,52,,,Skrbec Leon,2123,0,1 - 0,0,,Chesaru Ioan-Constantin,1453,,107,
52,53,108,,,Han Giuk,1450,0,0 - 1,0,,Veress Armand,2104,,53,
53,54,54,,,Andries Alf,2092,0,1 - 0,0,,Frej Chedly,1417,,109,
54,55,110,,,Sun Michael,1307,0,0 - 1,0,,Fragkos Vasileios,2087,,55,
