,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,3,,CM,Zepeda Berlanga Jan Enrique,1592,0,1 - 0,0,,Paredes Guzman Francisco Javier,1703,,1
1,2,2,,,Montes Orozco Miguel Angel,1674,0,1 - 0,0,,Varela Velazquez Carlos Francisco,1546,,4
