,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,1,,GM,Antipov Mikhail Al.,2609,0,1 - 0,0,,Falsaveta Ken Nahel,1594,,120
1,2,3,,GM,Li Ruifeng,2541,0,1 - 0,0,,Morata Jules,1568,,122
2,3,5,,IM,Livaic Leon,2507,0,1 - 0,0,,Anand S,1548,,124
3,4,7,,IM,Chen Qi B,2493,0,1 - 0,0,,Albarez Mendoza Susana,1530,,126
4,5,9,,IM,Shuvalova Polina,2476,0,1 - 0,0,,Kozhamberdiyev Alan,1517,,128
5,6,11,,IM,Hilby Craig,2454,0,1 - 0,0,,Aritrik Guha,1502,,130
6,7,13,,IM,Burri Quentin,2415,0,1 - 0,0,,Wickramasinghe Hiruna,1476,,132
7,8,15,,FM,Shapiro David,2395,0,1 - 0,0,,Md. Habibul Bashar Zihad,1447,,134
8,9,18,,IM,Kambrath Yannick,2375,0,1 - 0,0,,Wandina Wambugu,1412,,136
9,10,19,,,Gouloutis Nikolaos,2362,0,1 - 0,0,,Kender William,1393,,138
10,11,21,,FM,Gracia Alvarez Gerardo An,2308,0,1 - 0,0,,Gawande Sumeet,1360,,140
11,12,24,,IM,Capone Nicola,2300,0,1 - 0,0,,Kunal Sharma,1324,,142
12,13,25,,WIM,Afonasieva Anna,2298,0,+ - -,0,,Printzios Lampros,1296,,144
13,14,27,,FM,Petr Jan,2282,0,1 - 0,0,,Mejia Teran Daniel,1271,,147
14,15,29,,FM,Antova Gabriela,2250,0,1 - 0,0,,Bharata S,1219,,149
15,16,31,,,Tsaknakis Zisis,2236,0,1 - 0,0,,Shubh Prakash,1096,,151
16,17,33,,FM,Lin Dachey,2222,0,1 - 0,0,,Aayush Sahay,0,,228
17,18,35,,,Telesforo Cyril Felrod,2203,0,1 - 0,0,,Aji Irawan Rokhmad,0,,192
18,19,37,,,Easton Jack,2175,0,1 - 0,0,,Alayon Collazo Jesus Javier,0,,197
19,20,39,,,Jaferian Koosha,2163,0,1 - 0,0,,Banda Adam,0,,156
20,21,41,,,Makarenko Aleksandr,2151,0,1 - 0,0,,Bastos Fabio,0,,185
21,22,43,,,Rahmanidis Petros,2132,0,+ - -,0,,Bhagtani Rahul,0,,226
22,23,45,,,Santos Ricardo Alexandre Luis,2121,0,1 - 0,0,,Bilai Biloa Simon Frederic,0,,233
23,24,47,,,Azaryan Tigran,2115,0,1 - 0,0,,Brailovski Alexandre,0,,161
24,25,48,,WIM,Rodriguez Dominguez Melissa,2103,0,1 - 0,0,,Campbell Khali,0,,203
25,26,51,,WFM,Kochukova Anna,2092,0,1 - 0,0,,Carvennec Dillan,0,,181
26,27,53,,FM,Mollo Jhoan,2073,0,1 - 0,0,,Chand Pavitra,0,,223
27,28,55,,CM,Carroll Peter,2059,0,1 - 0,0,,Das Suprakash,0,,235
28,29,57,,WCM,Danilova Rada,2048,0,+ - -,0,,Elbaz Ahmed,0,,157
29,30,59,,,Van Doren Bas,2032,0,1 - 0,0,,Fouad Leqaa,0,,208
30,31,61,,WIM,Fernandez Rivero Karla July,2025,0,1 - 0,0,,Gelis Alexis,0,,162
31,32,63,,,Constanzo Vivanco Mario Felipe,2008,0,1 - 0,0,,Hansen Nagaria,0,,217
32,33,65,,,Geert Van Hoorn,2000,0,1 - 0,0,,Janjanam Vishnusai,0,,239
33,34,67,,,Mangold Noe,1993,0,1 - 0,0,,Livingstone Jonathan,0,,198
34,35,69,,,Herrera Aruca Jorge Frank,1964,0,1 - 0,0,,Lopez Godinez Oscar Fernando,0,,219
35,36,71,,,Cotto Mux Hector Vinicio,1941,0,1 - 0,0,,Marin Vargas Alessandro,0,,160
36,37,72,,,Koukas Anastasios,1933,0,0 - 1,0,,Mellinger Arthur,0,,170
37,38,75,,,Alberto Pramana Martin Silaen,1922,0,+ - -,0,,Momchyan Gayane,0,,188
38,39,77,,,Brison Lucas,1906,0,½ - ½,0,,Muhammad Andi Aqil R,0,,165
39,40,79,,,Dzurak Vitalii,1894,0,1 - 0,0,,Olvido Kris Oswald,0,,204
40,41,81,,,Leacima Giovane Santiago,1884,0,0 - 1,0,,Papakonstantinou Dimitrios,2251,,182
41,42,83,,,Vozinaki Anthi - Maria,1861,0,1 - 0,0,,Petetin Ednan,0,,183
42,43,86,,,Sabiani Chjara,1842,0,1 - 0,0,,Pramod Sanjay,0,,230
43,44,88,,,Mourogiannis Konstantinos,1833,0,1 - 0,0,,Rabotti Davide,0,,180
44,45,90,,,Oroche Mayta Mario,1825,0,- - +,0,,Ramos Matheus Dos Santos,0,,213
45,46,92,,,Lepoittevin Thomas,1811,0,1 - 0,0,,Requejo Flores Christian Daniel,0,,178
46,47,93,,,Nguyen Khoa Minh,1801,0,1 - 0,0,,Salinas Nolasco Miguel Angel,0,,215
47,48,96,,,Coman Emilia-Florentina,1770,0,0 - 1,0,,Serrano Herrera Jorge,0,,199
48,49,98,,,Cristocea Gabriela,1757,0,1 - 0,0,,Shatipamba Lazarus,0,,207
49,50,100,,,Belov Aleksey,1749,0,1 - 0,0,,Sibisi Lindokuhle Vukile,0,,209
50,51,102,,,Reau Florine,1738,0,1 - 0,0,,Soares Camila Oliveira,0,,176
51,52,104,,,Kouroglou Konstantinos,1724,0,1 - 0,0,,Solares Godoy Pablo Andres,0,,221
52,53,106,,,Kumar Viney,1711,0,1 - 0,0,,Syeda Sadia Huq,0,,191
53,54,108,,,Kozybayeva Alisa,1704,0,1 - 0,0,,Takenouchi Atsushi,0,,171
54,55,110,,,De Briey Aurian,1690,0,1 - 0,0,,Turza Abir Mohammad,0,,154
55,56,112,,,Manso Marugan Luis,1682,0,1 - 0,0,,Verlinsky Michael,0,,214
56,57,114,,,Marques Ricardo,1650,0,1 - 0,0,,Wangari Cephas King'ori,0,,177
57,58,116,,,Moreno Herrera Rodrigo,1633,0,0 - 1,0,,Wicaksono Aji Bagus,0,,158
58,59,118,,,Nadera Laila Camel,1618,0,1 - 0,0,,Zhao Jason,0,,195
59,60,121,,,Aditya Priya,1579,0,0 - 1,0,GM,Shevchenko Kirill,2599,,2
60,61,123,,WFM,Farrugia Jamie,1566,0,0 - 1,0,GM,Chandra Akshat,2536,,4
61,62,125,,,Wicikowska Agata,1545,0,0 - 1,0,GM,Iniyan P,2506,,6
62,63,127,,,Mugide Safinah,1518,0,0 - 1,0,GM,Repka Christopher,2491,,8
63,64,129,,,Sakshi Pradyumn,1504,0,0 - 1,0,IM,Raja Harshit,2472,,10
64,65,131,,,Ramirez Quiroz Eddi Gino,1478,0,0 - 1,0,IM,Mitrabha Guha,2445,,12
65,66,133,,,Al-Shamsi Ousha,1452,0,0 - 1,0,IM,Neelash Saha,2413,,14
66,67,135,,,Nabacwa Allen Kyolaba,1413,0,0 - 1,0,IM,Ynojosa Aponte Felix Jose,2393,,16
67,68,137,,,Ng Zhi Ying Natanya,1394,0,0 - 1,0,FM,Secheres Adrian-Simion,2375,,17
68,69,139,,,Panchami Shenoy K,1371,0,0 - 1,0,,Stefanov Emil,2350,,20
69,70,141,,,Lana Haymoor,1342,0,0 - 1,0,WIM,Antolak Julia,2306,,22
