,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,1,,FM,Vetokhin Savva,2364,0,1 - 0,0,,Goutham Krishna H,1352,,16
1,2,15,,,Mrinmoy Rajkhowa,1634,0,1 - 0,0,,Chen Ryo,2358,,2
2,3,3,,FM,Samunenkov Ihor,2288,0,1 - 0,0,CM,Tenuunbold Battulga,1753,,14
3,4,13,,,Dinh Nho Kiet,1792,0,1 - 0,0,CM,Mamedov Edgar,2168,,4
4,5,5,,CM,Manon Reja Neer,2162,0,0 - 1,0,,Sharshenbekov Emir,1794,,12
5,6,11,,,Azadaliyev Jahandar,1888,0,0 - 1,0,CM,Warchol Kamil,2099,,6
6,7,7,,,Poh Yu Tian,2081,0,1 - 0,0,,Ang Ern Jie Anderson,1910,,10
7,8,9,,,Zemlyanskii Ivan,2013,0,1 - 0,0,CM,Nurgaliyev Sauat,2059,,8
