,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,1,,CM,Erdogmus Yagiz Kaan,2150,0,1 - 0,0,,Zhao Jifan,0,,16
1,2,15,,,Liu Zachary Hankun,0,0,0 - 1,0,,Yeganegi Barad,1863,,2
2,3,3,,,Mao Daqi,1810,0,½ - ½,0,AIM,Vaz Ethan,1384,,14
3,4,13,,,Nguyen Quang Minh,1423,0,1 - 0,0,,Ahmad Khagan,1762,,4
4,5,5,,,Dau Khuong Duy,1754,0,1 - 0,0,,Smirnov Mark,1449,,12
5,6,11,,,Duarte Agustin,1500,0,1 - 0,0,,Petukhov Dmitriy,1685,,6
6,7,7,,,Munoz Ramos Christopher,1625,0,1 - 0,0,,Yurasov Matfey,1502,,10
7,8,9,,,Arutla Aditya,1555,0,0 - 1,0,,Temirbekov Taimaz,1573,,8
