,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
0,1,1,2288,GM,Nasanjargal Urtnasan,½ - ½,FM,Tengis Tsog-Ochir,2158,10
1,2,2,2468,GM,Bilguun Sumiya,1 - 0,IM,Agibileg Uurtsaikh,2205,9
2,3,3,1836,CM,Chinguun Bayaraa,0 - 1,FM,Boldoo Erdenepurev,2062,8
3,4,4,2069,FM,Garidmagnai Byambasuren,0 - 1,IM,Battulga Namkhai,2402,7
4,5,5,2417,GM,Gundavaa Bayarsaikhan,1 - 0,GM,Batsuren Dambasuren,2118,6
5,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
6,1,10,2158,FM,Tengis Tsog-Ochir,½ - ½,GM,Batsuren Dambasuren,2118,6
7,2,7,2402,IM,Battulga Namkhai,0 - 1,GM,Gundavaa Bayarsaikhan,2417,5
8,3,8,2062,FM,Boldoo Erdenepurev,½ - ½,FM,Garidmagnai Byambasuren,2069,4
9,4,9,2205,IM,Agibileg Uurtsaikh,1 - 0,CM,Chinguun Bayaraa,1836,3
10,5,1,2288,GM,Nasanjargal Urtnasan,1 - 0,GM,Bilguun Sumiya,2468,2
11,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
12,1,2,2468,GM,Bilguun Sumiya,1 - 0,FM,Tengis Tsog-Ochir,2158,10
13,2,3,1836,CM,Chinguun Bayaraa,1 - 0,GM,Nasanjargal Urtnasan,2288,1
14,3,4,2069,FM,Garidmagnai Byambasuren,1 - 0,IM,Agibileg Uurtsaikh,2205,9
15,4,5,2417,GM,Gundavaa Bayarsaikhan,1 - 0,FM,Boldoo Erdenepurev,2062,8
16,5,6,2118,GM,Batsuren Dambasuren,1 - 0,IM,Battulga Namkhai,2402,7
17,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
18,1,10,2158,FM,Tengis Tsog-Ochir,0 - 1,IM,Battulga Namkhai,2402,7
19,2,8,2062,FM,Boldoo Erdenepurev,0 - 1,GM,Batsuren Dambasuren,2118,6
20,3,9,2205,IM,Agibileg Uurtsaikh,1 - 0,GM,Gundavaa Bayarsaikhan,2417,5
21,4,1,2288,GM,Nasanjargal Urtnasan,1 - 0,FM,Garidmagnai Byambasuren,2069,4
22,5,2,2468,GM,Bilguun Sumiya,1 - 0,CM,Chinguun Bayaraa,1836,3
23,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
24,1,3,1836,CM,Chinguun Bayaraa,0 - 1,FM,Tengis Tsog-Ochir,2158,10
25,2,4,2069,FM,Garidmagnai Byambasuren,1 - 0,GM,Bilguun Sumiya,2468,2
26,3,5,2417,GM,Gundavaa Bayarsaikhan,0 - 1,GM,Nasanjargal Urtnasan,2288,1
27,4,6,2118,GM,Batsuren Dambasuren,1 - 0,IM,Agibileg Uurtsaikh,2205,9
28,5,7,2402,IM,Battulga Namkhai,½ - ½,FM,Boldoo Erdenepurev,2062,8
29,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
30,1,10,2158,FM,Tengis Tsog-Ochir,1 - 0,FM,Boldoo Erdenepurev,2062,8
31,2,9,2205,IM,Agibileg Uurtsaikh,1 - 0,IM,Battulga Namkhai,2402,7
32,3,1,2288,GM,Nasanjargal Urtnasan,½ - ½,GM,Batsuren Dambasuren,2118,6
33,4,2,2468,GM,Bilguun Sumiya,½ - ½,GM,Gundavaa Bayarsaikhan,2417,5
34,5,3,1836,CM,Chinguun Bayaraa,0 - 1,FM,Garidmagnai Byambasuren,2069,4
35,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
36,1,4,2069,FM,Garidmagnai Byambasuren,1 - 0,FM,Tengis Tsog-Ochir,2158,10
37,2,5,2417,GM,Gundavaa Bayarsaikhan,1 - 0,CM,Chinguun Bayaraa,1836,3
38,3,6,2118,GM,Batsuren Dambasuren,0 - 1,GM,Bilguun Sumiya,2468,2
39,4,7,2402,IM,Battulga Namkhai,0 - 1,GM,Nasanjargal Urtnasan,2288,1
40,5,8,2062,FM,Boldoo Erdenepurev,1 - 0,IM,Agibileg Uurtsaikh,2205,9
41,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
42,1,10,2158,FM,Tengis Tsog-Ochir,1 - 0,IM,Agibileg Uurtsaikh,2205,9
43,2,1,2288,GM,Nasanjargal Urtnasan,1 - 0,FM,Boldoo Erdenepurev,2062,8
44,3,2,2468,GM,Bilguun Sumiya,1 - 0,IM,Battulga Namkhai,2402,7
45,4,3,1836,CM,Chinguun Bayaraa,0 - 1,GM,Batsuren Dambasuren,2118,6
46,5,4,2069,FM,Garidmagnai Byambasuren,0 - 1,GM,Gundavaa Bayarsaikhan,2417,5
47,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.
48,1,5,2417,GM,Gundavaa Bayarsaikhan,1 - 0,FM,Tengis Tsog-Ochir,2158,10
49,2,6,2118,GM,Batsuren Dambasuren,1 - 0,FM,Garidmagnai Byambasuren,2069,4
50,3,7,2402,IM,Battulga Namkhai,0 - 1,CM,Chinguun Bayaraa,1836,3
51,4,8,2062,FM,Boldoo Erdenepurev,0 - 1,GM,Bilguun Sumiya,2468,2
52,5,9,2205,IM,Agibileg Uurtsaikh,0 - 1,GM,Nasanjargal Urtnasan,2288,1
