,No.,Team,Team,Res.,:,Res.
0,1,  Oslo Schakselskap,  England 1,0,:,4
1,2,  USA,  USA 5 Brothers,3,:,1
2,3,  Ireland,  Georgia Winery Khareba,½,:,3½
3,4,  Iceland,  Sweden,3,:,1
4,5,  Wales Silures,  Italia 1,0,:,4
5,6,  Hungary,  England 1W,3½,:,½
6,7,  England 3,  Germany 1,1,:,3
7,8,  England 2,  Italy Asti Sempre Uniti,4,:,0
8,9,  Polish Amateurs,  Canada,1½,:,2½
9,10,  Still active NL,  England 4,3½,:,½
10,11,  Italia Acqui Terme *),  Scotland,1,:,3
11,12,  Wales Cymru,  bye,2,:,
