,No.,Team,Team,Res.,:,Res.
0,1,  Vodafone Western Europe,  Emphie Solutions,0,:,4
1,2,  Alkaloid,  Airbus (UK),4,:,0
2,3,  PTC Pune,  RFSO Lokomotiv,0,:,4
3,4,  Bosch,  Chegg Delhi,1½,:,2½
4,5,  JN Co-Operative Labour,  State Bank of Mongolia,0,:,4
5,6,  Czech National Bank,  Google Hyderabad,4,:,0
6,7,  Saes Getters Spa,  European Patent Office The Hague,0,:,4
7,8,  UBS Maharashtra,  Reply Italy,4,:,0
8,9,  Airbnb Europe,  Home Credit International Prague,½,:,3½
9,10,  Union Bank of India,  Gornoslaski Fund,3,:,1
10,11,  Expert Analytics,  EPAM Ukraine,1,:,3
11,12,  Tata Consultancy Services Bangalore,  Concentrix,2½,:,1½
12,13,  Tata Communications (IND),  Cognizant Karnataka,0,:,4
13,14,  Groupe Chiali,  Sorting Hat Technologies Maharastra,3,:,1
14,15,  Deutsche Bank Bangalore,  Arla Foods,1,:,3
15,16,  Morgan Stanley (IND),  LinkedIn Bangalore,2½,:,1½
16,17,  Teleperformance,  FI,0,:,4
17,18,  Nokia Budapest,  Solidarity,4,:,0
18,19,  Bellrock,  MMK,0,:,4
19,20,  Die Zeit,  IMEC,3½,:,½
