,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,108,,AFM,Ruiz Wayne,1584,0,0 - 1,0,FM,Samadov Read,2360,,1
1,2,2,,FM,Gurel Ediz,2353,0,1 - 0,0,,Lima Stefan Moisei Vieira,1580,,109
2,3,110,,,Barja Viveros Matias Ariel,1579,0,0 - 1,0,FM,Habans Aguerrea Javier,2318,,3
3,4,4,,FM,Han Yichen,2307,0,1 - 0,0,,Danzanjunai Ganbat,1578,,111
4,5,112,,,Willder Matthew,1555,0,0 - 1,0,FM,Vidyarthi Vyom,2304,,5
5,6,6,,,Makridis Dimitrios,2256,0,1 - 0,0,,Laturkar Iraj,1553,,113
6,7,114,,,Abris Cedric Kahlel,1548,0,0 - 1,0,CM,Prraneeth Vuppala,2253,,7
7,8,8,,FM,Stribuk Artiom,2241,0,0 - 1,0,,Brozynski Patryk,1547,,115
8,9,116,,,Ofile Masilo,1506,0,0 - 1,0,FM,Atanasov Anthony,2196,,9
9,10,10,,,Ngo Bach,2195,0,1 - 0,0,,Kannappan Thanneermalai,1504,,117
10,11,118,,,Kiziria Kakhaber,1503,0,0 - 1,0,,Zhakshylykov Erzhan,2192,,11
11,12,12,,CM,Navumenka Mikhei,2188,0,½ - ½,0,,Yildiz Serdar Murat,1501,,119
12,13,120,,,Abhrojyoty Nath,1499,0,1 - 0,0,CM,Taspinar Yanki,2178,,13
13,14,14,,CM,Mamedov Edgar,2168,0,1 - 0,0,,Madhavan Sanjith,1498,,121
14,15,122,,,Marrhuimawan Maximiliano,1496,0,1 - 0,0,,Uritsky Yonathan,2165,,15
15,16,16,,,Olenik Campa Rudi,2144,0,1 - 0,0,,Barboza Viquez Martin Eduardo,1491,,123
16,17,124,,,Sonhy Jaime,1490,0,1 - 0,0,CM,Zhao Erick,2121,,17
17,18,18,,,Eliseev Sergey,2109,0,0 - 1,0,CM,Tong Hai Anh,1486,,125
18,19,126,,,Badieh Mahmoud,1485,0,0 - 1,0,CM,Garv Gaur,2083,,19
19,20,20,,CM,Bhavesh Mahajan,2047,0,1 - 0,0,,Soojay Jorah,1478,,127
20,21,128,,,Adam Rafael,1474,0,0 - 1,0,,Zakharov Alexey O.,2047,,21
21,22,22,,,Labruyere Roger,2045,0,1 - 0,0,,Mawuli Richardson,1473,,129
22,23,130,,,Brady Fearghal,1463,0,0 - 1,0,,Dang Anh Minh,2040,,23
23,24,24,,,Magalakis Stefanos,2030,0,1 - 0,0,ACM,Gontcharov Dimitri,1448,,131
24,25,132,,,Wangthumboon Patawee,1438,0,0 - 1,0,,Malek Jan,2029,,25
25,26,26,,,Perea Fruet Lorenzo,2028,0,½ - ½,0,,Montevilla Cahuasa Jonathan I.,1433,,133
26,27,134,,,Romero Gladimir Chester,1427,0,1 - 0,0,,Bialiauski Artsiom,2025,,27
27,28,28,,,Venkatesan Kavin,2011,0,1 - 0,0,,Koay Yu Hang,1418,,135
28,29,136,,,Chembe Sean Kunda,1412,0,0 - 1,0,,Poupalos Nikolaos,2005,,29
29,30,30,,,Montes Orozco Miguel Angel,2003,0,1 - 0,0,,Aarush Thakkar,1409,,137
30,31,138,,,Weerasekara Dinul Vinsitha,1406,0,1 - 0,0,,Javornik Nik,1999,,31
31,32,32,,CM,Chen Max,1997,0,1 - 0,0,,Apkhazava Mikheil,1405,,139
32,33,140,,,Garcia Figueroa Nathaniel I.,1399,0,0 - 1,0,,De Winter Arthur,1987,,33
33,34,34,,,Mattenberger Matthias,1961,0,1 - 0,0,,Marocco Gabriel Leao Quadros,1396,,141
34,35,142,,,Elharrak Ahmed,1389,0,0 - 1,0,,Ning Eric,1957,,35
35,36,36,,,Harsh Suresh,1940,0,1 - 0,0,,Yahya Shuaib Al Kaff,1388,,143
36,37,144,,,Laksiri A A Kavishka Gimshan,1387,0,0 - 1,0,,Ilkhomi Jaloliddin,1934,,37
37,38,38,,,Asllani Dorian,1931,0,1 - 0,0,,Soud Jaber,1387,,145
38,39,146,,,Salonen Aku,1383,0,1 - 0,0,,Srinivasan Hemant,1917,,39
39,40,40,,,Ticona Rocabado Licael Roderick,1911,0,1 - 0,0,,Gogia Alexandre,1375,,147
40,41,148,,,Prasanna Shreyas,1356,0,0 - 1,0,,Fiorito Joaquin,1909,,41
41,42,42,,AFM,Kukreja Sankalp,1902,0,1 - 0,0,,Arutla Siddharth,1354,,149
42,43,150,,,Wanjala Samuel,1354,0,- - +,0,,Colev Ivor,1901,,43
43,44,44,,,Lye Sverre,1899,0,½ - ½,0,CM,Shane Kennedy,1353,,151
44,45,152,,,Chiravanich Pathee,1352,0,½ - ½,0,,Mahendra Teja Mekala,1892,,45
45,46,46,,,Reyes Mendoza Tomas,1879,0,0 - 1,0,,Goutham Krishna H,1352,,153
46,47,154,,AFM,Potgieter Edward,1348,0,0 - 1,0,,Thatte Nishchal,1873,,47
47,48,48,,,Chia Yu Zhe Ashton,1862,0,1 - 0,0,,Husam Al-Dain Abdulhakim Nasher,1342,,155
48,49,156,,,La Fleur Juninho,1338,0,0 - 1,0,,Handsztok Matias,1852,,49
49,50,50,,,Xu Daniel,1851,0,1 - 0,0,,Chakroun Wael,1336,,157
50,51,158,,,Palmer Reegan,1325,0,0 - 1,0,,Nagare Kaivalya Sandip,1845,,51
51,52,52,,,Krishnan Ritvik,1843,0,1 - 0,0,,Medina Joshua,1321,,159
52,53,160,,,Wu Yuxuan,1320,0,0 - 1,0,,Kolesov Gordey,1842,,53
53,54,54,,,Xu Edison,1838,0,1 - 0,0,,Ho Yi-En Ian,1317,,161
54,55,162,,,Ridwan Syed,1311,0,0 - 1,0,,Mohamed Abderrahim Taleb Mohamed,1829,,55
55,56,56,,,Shivakumar Shawnak,1828,0,1 - 0,0,,Singh Yuvraj,1304,,163
