,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.
0,1,1,,IM,Orso Miklos,2262,0,½ - ½,0,,Vrona Mihail,1894,,23
1,2,24,,,Bona Zoltan,1845,0,½ - ½,0,IM,Farkas Tibor,2261,,2
2,3,3,,FM,Keresztes Richard,2227,0,1 - 0,0,,Bicskei Mihaly,1826,,25
3,4,26,,,Hideg Ferenc Bendeguz,1781,0,0 - 1,0,,Dolnik Attila,2162,,4
4,5,5,,FM,Simonyi Zoltan,2109,0,1 - 0,0,,Toth Sandor Sr.,1778,,27
5,6,28,,,Pilisi Lukacs,1777,0,0 - 1,0,FM,Harmatosi Jozsef,2077,,6
6,7,7,,,Sagi Bence,2063,0,1 - 0,0,,Meszaros Vilmos,1750,,29
7,8,30,,,Ferenczi Bela Istvan,1719,0,0 - 1,0,,Ilonczai Levente-David,2046,,8
8,9,9,,,Andriska Zsolt,2035,0,1 - 0,0,,Bacsa Zoltan,1710,,31
9,10,32,,,Mihaly Zoltan,1699,0,½ - ½,0,,Varadi Laszlo,2034,,10
10,11,11,,,Varjas Sandor,2025,0,1 - 0,0,,Pasztor Sandor S,1658,,33
11,12,34,,,Molnar Lidia Emilia,1601,0,0 - 1,0,,Kosa Jeno,2019,,12
12,13,13,,,Barczi Tibor,1972,0,1 - 0,0,,Hideg Gergo Benedek,1555,,35
13,14,36,,,Tompa Zoltan,1530,0,0 - 1,0,,Keresztes Mark,1966,,14
14,15,15,,,Toth Matyas,1944,0,½ - ½,0,,Hideg Istvan Benjamin,1498,,37
15,16,38,,,Toth Kalman,1350,0,0 - 1,0,,Csuri Szilveszter,1932,,16
16,17,17,,,Kelemen Sandor,1926,0,1 - 0,0,,Farkas Imre,1347,,39
17,18,40,,,Ilonczai Levente-Istvan,1342,0,0 - 1,0,,Szekeres Janos,1923,,18
18,19,19,,,Keresztes Zoltan,1922,0,1 - 0,0,,Torok Vilmos,1328,,41
19,20,42,,,Torok Balazs,1091,0,0 - 1,0,FM,Donko Matyas,1913,,20
20,21,21,,,Szatmary R. Jozsef,1912,0,1 - 0,0,,Kormoci Balazs,0,,43
21,22,44,,,Medl Sandor,0,0,0 - 1,0,,Toth Kazmer,1904,,22
