,medium,time_control,age_diff,home_country_diff,rating_diff,players_sex,first_game_diff,n_tour_diff,n_game_diff,score_diff,n_games_higher,n_upset_higher,n_peo,n_upset_peo,upset
191,offline,rapid,21,0,303.0,MM,0,-7,-42,-0.0370028528276555,4,2,0,0,1
192,offline,rapid,-37,0,416.0,FM,0,-2,-17,0.0916666666666666,8,1,0,0,1
193,offline,rapid,-12,-1,298.0,MM,0,-1,-8,0.0999999999999999,0,0,0,0,0
194,offline,rapid,-11,-1,634.0,MM,0,-1,-8,0.0416139640779155,1,0,0,0,0
195,offline,rapid,-25,0,278.0,MM,0,-4,-10,-0.0118559051527586,16,8,0,0,0
196,offline,rapid,1,0,336.0,MM,0,-4,-15,0.0123683005038937,1,0,0,0,0
197,offline,rapid,-33,-1,212.0,MM,0,-1,-8,0.0066707279926896,46,10,0,0,0
198,offline,rapid,-35,0,573.0,MM,0,-2,-17,0.0198657436542899,8,0,1,0,0
199,offline,standard,-1,0,281.0,FF,0,-1,-7,0.0016273715964117,30,8,0,0,0
200,offline,standard,1,0,315.0,FF,0,-2,-54,0.0493947676688794,30,12,0,0,0
201,offline,standard,3,0,610.0,FF,0,21,167,-0.0063183060109289,7,3,0,0,1
202,offline,standard,-1,0,203.0,FF,0,15,110,0.1787670467247931,15,6,0,0,1
203,offline,standard,1,0,643.0,FF,0,22,228,-0.0363729508196721,7,3,0,0,0
204,offline,standard,1,0,580.0,FF,0,-16,-143,0.1214285714285713,51,20,0,0,1
205,offline,standard,1,0,585.0,FF,-1,23,183,0.087431693989071,0,0,0,0,0
206,offline,standard,0,0,349.0,FF,0,17,145,0.0462653288740245,2,0,0,0,0
207,offline,standard,-1,0,354.0,FF,0,12,111,0.0397435897435897,2,0,0,0,0
208,offline,standard,2,0,374.0,FF,0,20,181,-0.0277601522842639,7,3,0,0,0
209,offline,standard,1,0,303.0,FF,0,7,87,0.0766157860870808,30,12,0,0,0
210,offline,standard,0,0,934.0,FF,0,-4,-32,0.1611721611721611,2,0,0,0,0
211,offline,standard,0,0,585.0,FF,0,-21,-177,0.1149068322981366,50,11,0,0,0
212,offline,standard,1,0,506.0,FF,1,-5,-39,0.0897435897435897,2,0,0,0,0
213,offline,standard,2,0,449.0,MM,0,-2,-25,-0.1984126984126983,0,0,0,0,0
214,offline,standard,0,0,550.0,MM,-1,6,89,-0.0449438202247191,0,0,0,0,0
215,offline,standard,1,0,533.0,MM,0,4,34,0.0659801678108314,2,2,0,0,0
216,offline,standard,2,1,358.0,MM,0,-5,-25,-0.1797385620915033,1,0,0,0,1
217,offline,standard,1,0,319.0,MM,0,3,12,0.2098048134976429,48,13,2,0,0
218,offline,standard,-1,0,206.0,MM,0,-3,-113,0.0685386473429952,15,4,0,0,0
219,offline,standard,0,0,609.0,MM,0,0,38,-0.260630094734523,13,5,0,0,0
220,offline,standard,1,0,494.0,MM,-1,52,680,0.2941176470588235,0,0,0,0,0
221,offline,standard,0,0,289.0,MM,0,-20,-169,-0.1290948610464213,16,9,0,0,1
222,offline,standard,0,0,272.0,MM,0,23,118,0.3009824675677143,13,3,0,0,0
223,offline,standard,0,0,663.0,MM,0,2,24,0.0101757631822386,2,2,0,0,1
224,offline,standard,0,0,270.0,MM,0,-18,-151,0.1914033526183058,48,13,1,1,0
225,offline,standard,0,0,555.0,MM,0,3,66,-0.0666829506595017,2,2,0,0,0
226,offline,standard,1,0,621.0,MM,0,29,297,0.1657608695652174,2,2,0,0,0
227,offline,blitz,-1,0,370.0,MM,0,2,-19,0.0392244880509597,16,9,0,0,0
228,offline,blitz,-1,-1,391.0,MM,0,31,311,0.1319444444444444,1,0,0,0,0
229,offline,blitz,-1,0,347.0,MM,0,23,219,0.0290841584158415,13,7,1,1,1
230,offline,blitz,1,0,290.0,MM,0,21,192,-0.0184799583550234,1,0,0,0,0
231,offline,blitz,-1,0,358.0,MM,0,-22,-179,-0.1848992656750141,16,9,0,0,0
232,offline,blitz,1,0,370.0,MM,0,46,617,0.0957049486461251,0,0,0,0,0
233,offline,blitz,-2,0,350.0,MM,0,20,106,0.0976228057588367,13,7,0,0,0
234,offline,blitz,0,0,233.0,MM,0,25,454,0.077303487766788,16,9,0,0,1
235,offline,blitz,1,0,547.0,MM,0,46,629,0.0784313725490195,13,5,0,0,0
236,offline,blitz,2,1,266.0,MM,0,-5,-25,-0.1797385620915033,1,0,0,0,1
237,offline,blitz,1,0,265.0,FF,0,1,-14,0.021441846273335,30,12,0,0,0
238,offline,blitz,0,0,391.0,FF,0,-11,-42,0.0293937538273117,50,11,0,0,0
239,offline,blitz,3,0,497.0,FF,0,3,-7,0.1653846153846154,51,20,0,0,0
240,offline,blitz,2,0,271.0,FF,0,20,181,-0.0277601522842639,7,3,0,0,0
241,offline,blitz,-2,0,326.0,FF,0,2,24,0.0584445414245354,30,12,0,0,0
242,offline,blitz,0,0,556.0,FF,0,2,60,0.100855310049893,50,11,0,0,0
243,offline,blitz,-1,0,276.0,FF,0,13,79,0.138518896182525,15,6,0,0,1
244,offline,blitz,1,0,486.0,FF,0,22,228,-0.0363729508196721,7,3,0,0,0
245,offline,blitz,1,0,341.0,FF,0,0,13,0.1094681085853012,50,11,0,0,0
246,offline,blitz,2,0,295.0,FF,0,5,47,0.115989847715736,51,20,0,0,0
247,offline,standard,25,-1,300.0,MM,-1,1,9,0.1666666666666666,0,0,0,0,1
248,offline,standard,21,0,284.0,MM,0,0,0,0.3333333333333333,3,2,0,0,1
249,offline,standard,41,0,206.0,MM,-1,2,18,0.0555555555555555,0,0,0,0,0
250,offline,standard,4,-1,239.0,MM,0,8,71,0.0743055555555556,2,0,0,0,1
251,offline,standard,-2,-1,335.0,MM,0,23,213,0.1884384384384384,2,0,0,0,0
252,offline,standard,13,-1,230.0,MM,0,8,58,0.160033167495854,2,0,1,0,1
253,offline,standard,-18,-1,201.0,MM,0,1,18,-0.0068229994700582,27,8,0,0,0
254,offline,standard,9,-1,276.0,MM,0,3,27,0.1944444444444444,2,0,0,0,1
255,offline,standard,21,0,416.0,MM,0,0,1,0.1212121212121212,6,3,0,0,1
256,offline,standard,-31,1,401.0,MM,0,-12,-80,0.1549999999999999,26,3,0,0,0
257,offline,standard,10,-1,381.0,MM,0,-5,-38,0.0532407407407407,38,21,1,1,0
258,offline,standard,-6,-1,331.0,MM,0,0,11,-0.1080745341614906,5,0,0,0,0
259,offline,standard,1,1,300.0,MM,0,3,15,0.1553030303030302,9,3,0,0,0
260,offline,standard,-7,1,325.0,MM,0,-2,-15,0.0060065526028394,34,14,0,0,0
261,offline,standard,-1,-1,335.0,MM,0,-6,-63,0.2098765432098766,26,4,1,0,1
262,offline,standard,-35,0,367.0,MM,0,-5,-23,0.2132034632034632,22,4,0,0,0
263,offline,standard,-16,-1,582.0,MM,0,-2,-13,0.0399999999999999,9,3,0,0,0
264,offline,standard,-20,0,579.0,MM,1,-18,-105,0.1523809523809524,29,2,0,0,0
265,offline,standard,-20,1,581.0,MM,0,2,15,0.4429347826086957,1,0,0,0,0
266,offline,standard,-34,0,349.0,MM,0,-1,-11,0.0643939393939394,2,0,0,0,0
267,offline,standard,-11,-1,430.0,MM,0,-14,-72,0.1220779220779221,29,2,0,0,1
268,offline,standard,-14,0,400.0,MM,0,2,21,0.0399999999999999,9,3,0,0,1
269,offline,standard,9,0,368.0,MM,0,10,74,0.2393292682926829,1,0,0,0,0
270,offline,standard,-28,-1,236.0,MM,-1,2,16,0.0625,0,0,0,0,0
271,offline,standard,29,0,296.0,MM,0,-1,-13,0.0214285714285713,1,0,0,0,0
272,offline,standard,19,0,289.0,MM,0,2,13,0.3212121212121212,4,0,0,0,1
273,offline,standard,13,0,304.0,MM,0,-1,-3,-0.0554347826086957,7,4,0,0,1
274,offline,standard,39,1,232.0,MM,0,3,16,0.125,6,3,1,0,0
275,offline,standard,-12,-1,315.0,MM,0,1,-2,0.1111111111111111,6,0,0,0,0
276,offline,standard,28,0,234.0,MM,0,-6,-43,-0.0806754221388367,34,14,0,0,0
277,offline,standard,-1,0,428.0,MM,0,1,10,0.0828571428571428,9,3,0,0,1
278,offline,standard,-18,0,352.0,MM,0,-8,-24,0.0536155202821869,29,2,0,0,0
279,offline,standard,-8,-1,335.0,MM,-1,4,33,0.1212121212121212,0,0,0,0,1
280,offline,standard,-16,1,295.0,MM,0,0,8,0.0749999999999999,0,0,0,0,0
281,offline,standard,11,-1,205.0,MM,0,-6,-50,0.2600557546794105,26,4,1,0,1
282,offline,standard,1,0,544.0,MM,0,0,9,0.0399999999999999,9,3,0,0,1
283,offline,standard,-13,0,431.0,MM,0,-13,-70,0.1952380952380952,29,2,0,0,0
284,offline,standard,-29,-1,273.0,MM,0,-8,-61,-0.1012345679012345,26,4,0,0,0
285,offline,standard,-32,0,616.0,MM,0,-2,-5,0.09,9,3,0,0,0
286,offline,standard,30,-1,480.0,MM,0,-3,-21,0.1119528619528619,38,21,0,0,0
287,offline,standard,-9,0,285.0,MM,0,3,21,-0.0671641791044776,11,4,0,0,0
288,offline,standard,-21,-1,213.0,MM,0,-1,-8,0.0,6,0,0,0,1
289,offline,standard,12,1,212.0,MM,1,-11,-82,0.073170731707317,34,14,0,0,1
290,offline,standard,3,1,255.0,MM,0,0,0,0.2749999999999999,4,0,0,0,0
291,offline,standard,-28,0,317.0,MM,0,-1,-6,0.275058275058275,8,3,0,0,0
292,offline,standard,9,0,324.0,MM,0,-7,-64,0.1842818428184282,34,14,1,1,1
293,offline,standard,5,-1,554.0,MM,0,0,6,0.2012903225806451,9,3,0,0,0
294,offline,standard,24,1,436.0,MM,0,4,27,0.3553571428571428,1,0,0,0,0
295,offline,standard,-1,-1,476.0,MM,0,10,75,-0.04,9,3,0,0,1
