,tournament_id,start_date,medium,country,time_control,left_fide_id,left_rtg,left_country,left_age,left_sex,right_fide_id,right_rtg,right_country,right_age,right_sex,upset_score,upset,left_home_country,right_home_country,age_diff,home_country_diff,players_sex,rating_diff
35,669871.0,2022/10/21,offline,Malta,standard,4404998.0,2296.0,Colombia,31,Male,1108956.0,2035.0,Poland,25,Male,0.0,0,0,0,6,0,MM,261.0
36,669871.0,2022/10/21,offline,Malta,standard,681318.0,2277.0,France,30,Male,13701495.0,1881.0,Kazakhstan,44,Male,396.0,1,0,0,-14,0,MM,396.0
37,669871.0,2022/10/21,offline,Malta,standard,2903784.0,2255.0,Bulgaria,46,Male,6002552.0,1724.0,Hong Kong,31,Male,531.0,1,0,0,15,0,MM,531.0
38,669871.0,2022/10/21,offline,Malta,standard,1144472.0,2177.0,Poland,27,Male,13701495.0,1881.0,Kazakhstan,44,Male,296.0,1,0,0,-17,0,MM,296.0
39,669871.0,2022/10/21,offline,Malta,standard,5013240.0,2022.0,India,41,Male,6002552.0,1724.0,Hong Kong,31,Male,0.0,0,0,0,10,0,MM,298.0
40,669871.0,2022/10/21,offline,Malta,standard,2903784.0,2255.0,Bulgaria,46,Male,2802988.0,2032.0,Israel,66,Male,0.0,0,0,0,-20,0,MM,223.0
41,686538.0,2022/10/21,offline,Malta,standard,1801325.0,1922.0,Wales,65,Male,5600731.0,1720.0,Malta,66,Male,0.0,0,0,1,-1,-1,MM,202.0
42,686538.0,2022/10/21,offline,Malta,standard,2031752.0,1922.0,United States of America,64,Male,21034800.0,1716.0,Poland,54,Female,0.0,0,0,0,10,0,MF,206.0
43,686538.0,2022/10/21,offline,Malta,standard,25003801.0,1872.0,India,22,Male,4216393.0,1661.0,Greece,51,Male,0.0,0,0,0,-29,0,MM,211.0
44,686538.0,2022/10/21,offline,Malta,standard,4426720.0,1866.0,Colombia,62,Male,835200.0,1658.0,Italy,50,Male,0.0,0,0,0,12,0,MM,208.0
45,686538.0,2022/10/21,offline,Malta,standard,2193310.0,1863.0,Brazil,39,Male,12802140.0,1658.0,Lithuania,56,Male,0.0,0,0,0,-17,0,MM,205.0
46,686538.0,2022/10/21,offline,Malta,standard,1189395.0,1846.0,Poland,23,Male,5507979.0,1642.0,Tunisia,72,Male,0.0,0,0,0,-49,0,MM,204.0
47,686538.0,2022/10/21,offline,Malta,standard,200450.0,1947.0,Liechtenstein,67,Male,9007920.0,1698.0,Morocco,27,Male,249.0,1,0,0,40,0,MM,249.0
48,686538.0,2022/10/21,offline,Malta,standard,3407527.0,1990.0,Chile,31,Male,2634864.0,1753.0,Canada,64,Male,0.0,0,0,0,-33,0,MM,237.0
49,686538.0,2022/10/21,offline,Malta,standard,1222198.0,1985.0,Romania,30,Male,4440250.0,1757.0,Colombia,67,Male,0.0,0,0,0,-37,0,MM,228.0
50,686538.0,2022/10/21,offline,Malta,standard,4689046.0,1978.0,Germany,45,Male,5603315.0,1733.0,Malta,42,Female,0.0,0,0,1,3,-1,MF,245.0
51,686538.0,2022/10/21,offline,Malta,standard,9000682.0,1965.0,Morocco,42,Male,5600731.0,1720.0,Malta,66,Male,122.5,1,0,1,-24,-1,MM,245.0
52,686538.0,2022/10/21,offline,Malta,standard,2223821.0,1961.0,Spain,51,Male,3610420.0,1699.0,Ecuador,26,Female,0.0,0,0,0,25,0,MF,262.0
53,686538.0,2022/10/21,offline,Malta,standard,2193310.0,1863.0,Brazil,39,Male,5507979.0,1642.0,Tunisia,72,Male,0.0,0,0,0,-33,0,MM,221.0
54,686538.0,2022/10/21,offline,Malta,standard,200450.0,1947.0,Liechtenstein,67,Male,5600731.0,1720.0,Malta,66,Male,0.0,0,0,1,1,-1,MM,227.0
55,686538.0,2022/10/21,offline,Malta,standard,1112864.0,1936.0,Poland,60,Male,3610420.0,1699.0,Ecuador,26,Female,0.0,0,0,0,34,0,MF,237.0
56,686538.0,2022/10/21,offline,Malta,standard,13800841.0,1914.0,Kyrgyzstan,42,Male,4456653.0,1690.0,Colombia,49,Male,0.0,0,0,0,-7,0,MM,224.0
57,686538.0,2022/10/21,offline,Malta,standard,2134470.0,1979.0,Brazil,28,Female,9007920.0,1698.0,Morocco,27,Male,281.0,1,0,0,1,0,FM,281.0
58,686538.0,2022/10/21,offline,Malta,standard,2223821.0,1961.0,Spain,51,Male,21034800.0,1716.0,Poland,54,Female,0.0,0,0,0,-3,0,MF,245.0
59,686538.0,2022/10/21,offline,Malta,standard,1112864.0,1936.0,Poland,60,Male,5600030.0,1690.0,Malta,56,Male,123.0,1,0,1,4,-1,MM,246.0
60,686538.0,2022/10/21,offline,Malta,standard,26047969.0,1910.0,France,27,Male,9007920.0,1698.0,Morocco,27,Male,0.0,0,0,0,0,0,MM,212.0
61,686538.0,2022/10/21,offline,Malta,standard,2134470.0,1979.0,Brazil,28,Female,24653470.0,1774.0,Germany,52,Male,102.5,1,0,0,-24,0,FM,205.0
62,686538.0,2022/10/21,offline,Malta,standard,13800841.0,1914.0,Kyrgyzstan,42,Male,12802140.0,1658.0,Lithuania,56,Male,128.0,1,0,0,-14,0,MM,256.0
