,upset_score,tournament_id,left_fide_id,left_rtg,right_fide_id,right_rtg,location,medium,time_control
3,0.0,686540,25683896,1537,9325190,0,"Mellieha, Malta",offline,90min+30sec/move
3,0.0,686540,25683896,1537,9325190,0,"Mellieha, Malta",offline,90min+30sec/move
4,0.0,686540,4404637,1306,9309535,1345,"Mellieha, Malta",offline,90min+30sec/move
5,0.0,686540,5602637,1145,16233751,1615,"Mellieha, Malta",offline,90min+30sec/move
5,0.0,686540,5602637,1145,16233751,1615,"Mellieha, Malta",offline,90min+30sec/move
0,0.0,686540,4904052,1667,4404637,1306,"Mellieha, Malta",offline,90min+30sec/move
0,0.0,686540,4904052,1667,4404637,1306,"Mellieha, Malta",offline,90min+30sec/move
1,96.0,686540,9309535,1345,25683896,1537,"Mellieha, Malta",offline,90min+30sec/move
1,96.0,686540,9309535,1345,25683896,1537,"Mellieha, Malta",offline,90min+30sec/move
2,0.0,686540,13724800,1630,5602637,1145,"Mellieha, Malta",offline,90min+30sec/move
2,0.0,686540,13724800,1630,5602637,1145,"Mellieha, Malta",offline,90min+30sec/move
3,103.0,686540,9307010,1362,45076995,1156,"Mellieha, Malta",offline,90min+30sec/move
4,0.0,686540,16233751,1615,41822412,0,"Mellieha, Malta",offline,90min+30sec/move
5,0.0,686540,9325190,0,472000,1396,"Mellieha, Malta",offline,90min+30sec/move
0,204.0,669871,2154463,2092,4404998,2296,"Mellieha, Malta",offline,90min+30sec/move
1,0.0,669871,681318,2277,9001476,2090,"Mellieha, Malta",offline,90min+30sec/move
2,106.5,669871,4605721,2044,13716417,2257,"Mellieha, Malta",offline,90min+30sec/move
3,220.0,669871,2903784,2255,1108956,2035,"Mellieha, Malta",offline,90min+30sec/move
4,213.0,669871,14200546,2033,2007606,2246,"Mellieha, Malta",offline,90min+30sec/move
5,0.0,669871,3803392,2243,2802988,2032,"Mellieha, Malta",offline,90min+30sec/move
6,204.0,669871,5013240,2022,1170791,2226,"Mellieha, Malta",offline,90min+30sec/move
7,0.0,669871,14508648,2215,4204662,2013,"Mellieha, Malta",offline,90min+30sec/move
8,85.5,669871,4199650,2007,4615824,2178,"Mellieha, Malta",offline,90min+30sec/move
9,0.0,669871,1144472,2177,4606272,1999,"Mellieha, Malta",offline,90min+30sec/move
10,0.0,669871,10600728,1998,14908760,2153,"Mellieha, Malta",offline,90min+30sec/move
11,0.0,669871,309125,2146,13300571,1993,"Mellieha, Malta",offline,90min+30sec/move
12,0.0,669871,20670532,1985,681482,2137,"Mellieha, Malta",offline,90min+30sec/move
13,0.0,669871,22738509,2127,5600359,1978,"Mellieha, Malta",offline,90min+30sec/move
14,0.0,669871,2500736,1958,16238982,2116,"Mellieha, Malta",offline,90min+30sec/move
14,0.0,669871,2500736,1958,16238982,2116,"Mellieha, Malta",offline,90min+30sec/move
14,0.0,669871,2500736,1958,16238982,2116,"Mellieha, Malta",offline,90min+30sec/move
15,0.0,669871,3405346,2111,262757,1943,"Mellieha, Malta",offline,90min+30sec/move
16,0.0,669871,13603817,1926,918695,2110,"Mellieha, Malta",offline,90min+30sec/move
17,193.0,669871,840572,2107,5600405,1914,"Mellieha, Malta",offline,90min+30sec/move
18,0.0,669871,25820249,1905,6001238,2101,"Mellieha, Malta",offline,90min+30sec/move
19,0.0,669871,1119958,2097,13701495,1881,"Mellieha, Malta",offline,90min+30sec/move
20,288.0,669871,5602521,1808,2400987,2096,"Mellieha, Malta",offline,90min+30sec/move
20,288.0,669871,5602521,1808,2400987,2096,"Mellieha, Malta",offline,90min+30sec/move
20,288.0,669871,5602521,1808,2400987,2096,"Mellieha, Malta",offline,90min+30sec/move
21,0.0,669871,4902076,2094,35095021,1790,"Mellieha, Malta",offline,90min+30sec/move
0,145.0,686538,412090,1845,3407527,1990,"Mellieha, Malta",offline,90min+30sec/move
1,171.0,686538,1222198,1985,6004369,1814,"Mellieha, Malta",offline,90min+30sec/move
2,0.0,686538,4274490,1814,3425924,1984,"Mellieha, Malta",offline,90min+30sec/move
3,0.0,686538,2134470,1979,4221443,1812,"Mellieha, Malta",offline,90min+30sec/move
4,170.0,686538,1132776,1808,4689046,1978,"Mellieha, Malta",offline,90min+30sec/move
5,168.0,686538,34123563,1974,13727354,1806,"Mellieha, Malta",offline,90min+30sec/move
6,0.0,686538,1500163,1806,7600607,1969,"Mellieha, Malta",offline,90min+30sec/move
7,160.0,686538,9000682,1965,207187,1805,"Mellieha, Malta",offline,90min+30sec/move
7,160.0,686538,9000682,1965,207187,1805,"Mellieha, Malta",offline,90min+30sec/move
8,173.0,686538,4903528,1790,3706923,1963,"Mellieha, Malta",offline,90min+30sec/move
9,0.0,686538,4406575,1962,3209423,1780,"Mellieha, Malta",offline,90min+30sec/move
10,181.0,686538,914207,1780,2223821,1961,"Mellieha, Malta",offline,90min+30sec/move
11,91.5,686538,9000810,1957,24653470,1774,"Mellieha, Malta",offline,90min+30sec/move
12,0.0,686538,318850,1771,6337848,1954,"Mellieha, Malta",offline,90min+30sec/move
13,0.0,686538,24628670,1954,649287,1766,"Mellieha, Malta",offline,90min+30sec/move
14,0.0,686538,25080407,1764,32045913,1953,"Mellieha, Malta",offline,90min+30sec/move
15,0.0,686538,16277040,1950,4440250,1757,"Mellieha, Malta",offline,90min+30sec/move
16,0.0,686538,2634864,1753,2943573,1949,"Mellieha, Malta",offline,90min+30sec/move
17,99.0,686538,200450,1947,2188295,1749,"Mellieha, Malta",offline,90min+30sec/move
18,198.0,686538,5600480,1738,1112864,1936,"Mellieha, Malta",offline,90min+30sec/move
19,0.0,686538,2500884,1932,16218388,1736,"Mellieha, Malta",offline,90min+30sec/move
20,0.0,686538,5603315,1733,12802760,1927,"Mellieha, Malta",offline,90min+30sec/move
21,0.0,686538,1801325,1922,5600731,1720,"Mellieha, Malta",offline,90min+30sec/move
22,0.0,686538,21034800,1716,2031752,1922,"Mellieha, Malta",offline,90min+30sec/move
23,198.0,686538,13800841,1914,2093197,1716,"Mellieha, Malta",offline,90min+30sec/move
24,97.5,686538,2075180,1715,26047969,1910,"Mellieha, Malta",offline,90min+30sec/move
25,0.0,686538,2089548,1910,1346741,1712,"Mellieha, Malta",offline,90min+30sec/move
26,0.0,686538,3610420,1699,1127284,1889,"Mellieha, Malta",offline,90min+30sec/move
27,95.5,686538,465917,1889,9007920,1698,"Mellieha, Malta",offline,90min+30sec/move
28,0.0,686538,5600570,1696,4465857,1882,"Mellieha, Malta",offline,90min+30sec/move
29,0.0,686538,8502544,1881,3707121,1695,"Mellieha, Malta",offline,90min+30sec/move
29,0.0,686538,8502544,1881,3707121,1695,"Mellieha, Malta",offline,90min+30sec/move
30,0.0,686538,5600030,1690,5198194,1879,"Mellieha, Malta",offline,90min+30sec/move
31,0.0,686538,1180967,1876,4456653,1690,"Mellieha, Malta",offline,90min+30sec/move
32,0.0,686538,5601894,1686,2215055,1874,"Mellieha, Malta",offline,90min+30sec/move
33,0.0,686538,25003801,1872,4216393,1661,"Mellieha, Malta",offline,90min+30sec/move
